acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,f1_c2,recall_c2,recall_ictal,cm,model,repeat,fold,params,sec,blend_w
0.92,0.9162833150784958,0.9176408967106641,0.9166666666666666,0.9908333333333333,0.9397590361445783,0.975,0.9090909090909091,0.875,0.9,0.9,0.9,"[[39, 1, 0], [3, 35, 2], [1, 1, 18]]",raw1d_wide,0,2,99795,78.18211379999411,
0.96,0.9585261621846989,0.9595238095238096,0.9583333333333334,0.9989583333333334,0.9743589743589743,0.95,0.9512195121951219,0.975,0.95,0.95,0.95,"[[38, 2, 0], [0, 39, 1], [0, 1, 19]]",spec2d_wide,0,2,97775,12.63741779999691,
0.97,0.9619104146881924,0.9659927257167308,0.9583333333333334,0.9990277777777777,0.9876543209876543,1.0,0.975,0.975,0.9230769230769231,0.9,0.9,"[[40, 0, 0], [0, 39, 1], [1, 1, 18]]",late,0,2,98571,27.224924599999213,
0.98,0.975,0.975,0.975,0.9995138888888889,1.0,1.0,0.975,0.975,0.95,0.95,0.95,"[[40, 0, 0], [0, 39, 1], [0, 1, 19]]",gated,0,2,98698,40.648336300000665,
0.97,0.9667682450382872,0.9670731707317074,0.9666666666666667,0.9981944444444443,0.9873417721518988,0.975,0.9629629629629629,0.975,0.95,0.95,0.95,"[[39, 1, 0], [0, 39, 1], [0, 1, 19]]",attention,0,2,98544,50.72493690000556,
0.98,0.975,0.975,0.975,0.998888888888889,1.0,1.0,0.975,0.975,0.95,0.95,0.95,"[[40, 0, 0], [0, 39, 1], [0, 1, 19]]",early,0,2,97507,16.482322399999248,
0.97,0.9667682450382872,0.9670731707317074,0.9666666666666667,0.999375,0.9873417721518988,0.975,0.9629629629629629,0.975,0.95,0.95,0.95,"[[39, 1, 0], [0, 39, 1], [0, 1, 19]]",score,0,2,59302,0.08540789999824483,0.0
0.6,0.65,0.65,0.65,0.7381944444444444,0.55,0.55,0.5,0.5,0.9,0.9,0.9,"[[22, 18, 0], [18, 20, 2], [0, 2, 18]]",logvar,0,2,3,0.022749799987650476,
0.94,0.9382324992081089,0.9365079365079364,0.9416666666666668,0.9943055555555556,0.961038961038961,0.925,0.926829268292683,0.95,0.926829268292683,0.95,0.95,"[[37, 3, 0], [0, 38, 2], [0, 1, 19]]",shallow,0,2,21,0.017446799989556894,
0.93,0.9241416030544564,0.9341747830119923,0.9166666666666666,0.9929166666666666,0.9620253164556962,0.95,0.9156626506024096,0.95,0.8947368421052632,0.85,0.85,"[[38, 2, 0], [1, 38, 1], [0, 3, 17]]",raw1d,0,3,27075,29.28458789999422,
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,0.9952777777777778,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",spec2d,0,3,32227,10.915623199995025,
0.95,0.9445593183544991,0.9606589147286821,0.9333333333333332,0.9898611111111112,0.975,0.975,0.9397590361445783,0.975,0.918918918918919,0.85,0.85,"[[39, 1, 0], [1, 39, 0], [0, 3, 17]]",raw1d_wide,0,3,99795,74.32545420000679,
0.97,0.9708577901348986,0.9767441860465116,0.9666666666666667,0.991388888888889,0.963855421686747,1.0,0.9743589743589743,0.95,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [2, 38, 0], [1, 0, 19]]",spec2d_wide,0,3,97775,11.244567100002314,
0.97,0.9749647942419027,0.9767441860465116,0.975,0.9956944444444443,0.963855421686747,1.0,0.961038961038961,0.925,1.0,1.0,1.0,"[[40, 0, 0], [3, 37, 0], [0, 0, 20]]",late,0,3,98571,36.36406100000022,
