metric,model_a,model_b,n,mean_a,mean_b,mean_diff,p_naive_wilcoxon,p_corrected,p_corrected_conservative,p_sign,delta_min_naive,delta_min_corrected,bayes_p_b_better_r02,bayes_p_equiv_r02,bayes_p_a_better_r02,bayes_p_b_better_r05,bayes_p_equiv_r05,bayes_p_a_better_r05,p_naive_wilcoxon_holm,p_corrected_holm,p_corrected_conservative_holm,p_sign_holm,sig_naive,sig_corrected
log_loss,attention,early,25,0.09423922031728775,0.40623196813631923,-0.31199274781903147,5.960464477539063e-08,0.007938181670625953,0.01478749977148424,5.960464477539063e-08,0.38045124879266184,0.4963229029152202,0.9938908087631322,0.0035541768669122885,0.0025550143699555284,0.9885692969282336,0.010129909976941402,0.0013007930948250102,3.2782554626464844e-06,0.3095890851544122,0.5767124910878854,3.2782554626464844e-06,True,False
log_loss,attention,gated,25,0.09423922031728775,0.09342912341750038,0.000810096899787387,0.9578450322151184,0.9802100858264897,0.9820496985111699,1.0,0.021346020136642222,0.05610476244835057,0.2628767615919568,0.4580086280172579,0.2791146103907854,0.06450670134668607,0.8649540013398005,0.07053929731351354,1.0,1.0,1.0,1.0,False,False
log_loss,attention,late,25,0.09423922031728775,0.06528546000523482,0.028953760312052948,0.007370948791503906,0.2670489632925573,0.31297734947108996,0.2295229434967041,0.04514431148540421,0.07254815350547368,0.033329709520338105,0.3308496338998139,0.635820656579848,0.0024521208869597265,0.7890693154798855,0.2084785636331549,0.19164466857910156,1.0,1.0,1.0,False,False
log_loss,attention,logvar,25,0.09423922031728775,0.6659148486600022,-0.5716756283427143,5.960464477539063e-08,2.375910858379433e-13,1.9189137283766463e-12,5.960464477539063e-08,0.5967819463159869,0.6392764583359122,0.9999999999997441,1.9957268154450034e-13,5.633372563159825e-14,0.9999999999991561,8.247777081308993e-13,1.9102812886682214e-14,3.2782554626464844e-06,1.1166781034383336e-11,9.018894523370237e-11,3.2782554626464844e-06,True,True
log_loss,attention,raw1d,25,0.09423922031728775,0.12287058298356898,-0.028631362666281232,0.0709836483001709,0.4454851893255613,0.48844779125979904,0.42435622215270996,0.052083477299609895,0.09177811385442404,0.5914599349857939,0.3085021226330539,0.10003794238115228,0.28400654674433706,0.6942003963573516,0.021793056898311257,1.0,1.0,1.0,1.0,False,False
log_loss,attention,raw1d_wide,25,0.09423922031728775,0.11455510668799627,-0.02031588637070851,0.13364005088806152,0.537187171923833,0.5754119216123855,0.10775214433670044,0.040935161651439865,0.07583498416591497,0.5038431637756855,0.383106883864838,0.1130499523594765,0.18471158259675208,0.795091163289526,0.020197254113721943,1.0,1.0,1.0,1.0,False,False
log_loss,attention,score,25,0.09423922031728775,0.09506125127868227,-0.0008220309613945035,0.978915274143219,0.9769440070359307,0.9790870803522478,0.6900379657745361,0.01870783994079375,0.048981045492890056,0.2510983755598117,0.5155784521442663,0.23332317229592192,0.04670497919448917,0.9115155411415243,0.04177947966398651,1.0,1.0,1.0,1.0,False,False
log_loss,attention,shallow,25,0.09423922031728775,0.11796198669726676,-0.023722766379978992,0.014722049236297607,0.3582918477187186,0.4039846435625728,0.01463329792022705,0.039816621848642805,0.06705679842045777,0.5578120384603433,0.3936083371656545,0.048579624374002144,0.15493131325006396,0.8412359692170707,0.0038327175328654465,0.3533291816711426,1.0,1.0,0.4097323417663574,False,False
log_loss,attention,spec2d,25,0.09423922031728775,0.10538189589720323,-0.011142675579915448,0.42614197731018066,0.7356802768715728,0.7594078757872713,1.0,0.03187354319554696,0.06696224493244704,0.3941721170377338,0.4311620539295654,0.17466582903270078,0.12265274296816162,0.8407719910555856,0.036575265976252665,1.0,1.0,1.0,1.0,False,False
log_loss,attention,spec2d_wide,25,0.09423922031728775,0.09188348425881887,0.002355736058468896,0.5782062411308289,0.94238856307735,0.9477363922723199,0.6900379657745361,0.022852463493357518,0.057544863680364135,0.24746987791340075,0.45780815546090103,0.29472196662569816,0.05882171894573698,0.8648375886298415,0.0763406924244215,1.0,1.0,1.0,1.0,False,False
