model_a,model_b,n,mean_a,mean_b,mean_diff,p_naive_wilcoxon,p_corrected,p_corrected_conservative,p_sign,delta_min_naive,delta_min_corrected,bayes_p_b_better_r01,bayes_p_equiv_r01,bayes_p_a_better_r01,bayes_p_b_better_r02,bayes_p_equiv_r02,bayes_p_a_better_r02,p_naive_wilcoxon_holm,p_corrected_holm,p_corrected_conservative_holm,p_sign_holm,sig_naive,sig_corrected
attention,early,25,0.9687708510050886,0.8963280002736562,0.07244285073143265,5.960464477539063e-08,0.006230549607491925,0.011957704209291488,5.960464477539063e-08,0.08779497836859818,0.11377971946458304,0.0011439367848612096,0.006989184519948344,0.9918668786951904,0.00040836045440505414,0.019633598533114305,0.9799580410124806,3.2782554626464844e-06,0.25545253390716893,0.490265872580951,3.2782554626464844e-06,True,False
attention,gated,25,0.9687708510050886,0.9730945343347909,-0.004323683329702082,0.6148113070366257,0.7478118654301276,0.7705245953549791,1.0,0.012770447262427952,0.02706729126204628,0.33659300469724285,0.5174216742484578,0.1459853210542994,0.12492922167738242,0.8352015151250479,0.039869263197569636,1.0,1.0,1.0,1.0,False,False
attention,late,25,0.9687708510050886,0.9740386418003482,-0.005267790795259306,0.11374603825319689,0.5705936772774146,0.6067247674157131,0.21003961563110352,0.011088230335472833,0.02093980388226531,0.3050796443698128,0.6406390587484669,0.05428129688172037,0.060424941752766144,0.934108646998804,0.005466411248429854,1.0,1.0,1.0,1.0,False,False
attention,logvar,25,0.9687708510050886,0.6459623685293987,0.32280848247569005,5.960464477539063e-08,4.169556901018779e-12,3.149444950297838e-11,5.960464477539063e-08,0.3390245171224251,0.3664714920211257,1.0962983329986185e-12,2.928546294356238e-12,0.9999999999959751,5.849600295825291e-13,7.308265104200018e-12,0.9999999999921068,3.2782554626464844e-06,2.043082881499202e-10,1.5432280256459406e-09,3.2782554626464844e-06,True,True
attention,raw1d,25,0.9687708510050886,0.9510810441478972,0.01768980685719156,0.004274733960172559,0.25397808884387035,0.29965334798848275,0.06391465663909912,0.02730699732324161,0.04358488467783267,0.039891140454422824,0.2681321795979068,0.6919766799476703,0.010044607116590401,0.5499739295677648,0.43998146331564486,0.13679148672552188,1.0,1.0,1.0,False,False
attention,raw1d_wide,25,0.9687708510050886,0.962807997503364,0.0059628535017248385,0.16178664110148655,0.6010769503681991,0.6351552568014267,0.6776394844055176,0.013113478714540487,0.025216501124256593,0.08445588913008982,0.5540815457991553,0.3614625650707549,0.01499516490933194,0.8728514736223091,0.112153361468359,1.0,1.0,1.0,1.0,False,False
attention,score,25,0.9687708510050886,0.96366912371948,0.005101727285608772,0.17110154647640796,0.653248389136029,0.683538679183189,0.4048728942871094,0.012227370622149111,0.024288109147673525,0.09533730044849364,0.5715775447042397,0.3330851548472666,0.017368958542682965,0.8843778350502512,0.09825320640706578,1.0,1.0,1.0,1.0,False,False
attention,shallow,25,0.9687708510050886,0.9535919042697746,0.01517894673531405,0.010995017215527,0.24927996277373665,0.2948434647791507,0.06391465663909912,0.023347446446468273,0.03717330532111209,0.03093934820692891,0.31437067553564035,0.6546899762574308,0.005750480000722477,0.6387786835792697,0.3554708364200079,0.340845533681337,1.0,1.0,1.0,False,False
attention,spec2d,25,0.9687708510050886,0.9602389750811936,0.008531875923895087,0.04951016737334315,0.449958502428903,0.49272947946010964,0.28627872467041016,0.015590423548177803,0.027537597051780154,0.05413356784485125,0.4978865008784483,0.44797993127670044,0.008431837383837164,0.8354689251020428,0.15609923751412003,1.0,1.0,1.0,1.0,False,False
attention,spec2d_wide,25,0.9687708510050886,0.9654744565908163,0.0032963944142724256,0.9353114289860184,0.8288528369020846,0.8445384092922426,1.0,0.012880485109285425,0.029102348373857057,0.1933889263051598,0.4762561829558143,0.3303548907390259,0.06777566611811198,0.7926790771305989,0.13954525675128918,1.0,1.0,1.0,1.0,False,False
early,gated,25,0.8963280002736562,0.9730945343347909,-0.07676653406113473,5.960464477539063e-08,0.003878393164663362,0.007882002423418896,5.960464477539063e-08,0.09202887572196797,0.11786164665432569,0.9947953265733035,0.004507514419838574,0.0006971590068579302,0.9867237194313441,0.013031205925495384,0.00024507464316054513,3.2782554626464844e-06,0.17064929924518793,0.34680810663043143,3.2782554626464844e-06,True,False
early,late,25,0.8963280002736562,0.9740386418003482,-0.07771064152669196,5.960464477539063e-08,0.004526810232903225,0.009031058966024238,5.960464477539063e-08,0.09347669401743058,0.12016203703697241,0.994148104132076,0.005007033313733553,0.0008448625541904534,0.9856006742043006,0.014091191182744139,0.00030813461295521913,3.2782554626464844e-06,0.19465284001483868,0.3883355355390422,3.2782554626464844e-06,True,False
early,logvar,25,0.8963280002736562,0.6459623685293987,0.25036563174425736,5.960464477539063e-08,1.4300344810442588e-09,8.893337305726777e-09,5.960464477539063e-08,0.2671777443959752,0.2956336304370632,3.3620443827292775e-10,1.2123787529461083e-09,0.9999999984514168,1.609210261179346e-10,3.2558307161423272e-09,0.9999999965832482,3.2782554626464844e-06,6.57815861280359e-08,4.0909351606343177e-07,3.2782554626464844e-06,True,True
early,raw1d,25,0.8963280002736562,0.9510810441478972,-0.0547530438742411,2.980232238769531e-07,0.015085715599480883,0.025921099377918092,1.9431114196777344e-05,0.06804319380675558,0.09053786772330011,0.9786217899156713,0.018910059336484344,0.002468150747844375,0.945194285683089,0.05403885111778919,0.000766863199121758,1.1622905731201172e-05,0.5732571927802735,0.9850017763608875,0.0007383823394775391,True,False
