metric,model_a,model_b,n,mean_a,mean_b,mean_diff,p_naive_wilcoxon,p_corrected,p_corrected_conservative,p_sign,delta_min_naive,delta_min_corrected,bayes_p_b_better_r01,bayes_p_equiv_r01,bayes_p_a_better_r01,bayes_p_b_better_r02,bayes_p_equiv_r02,bayes_p_a_better_r02,p_naive_wilcoxon_holm,p_corrected_holm,p_corrected_conservative_holm,p_sign_holm,sig_naive,sig_corrected
brier,attention,early,25,0.04818129449349444,0.16511296713860368,-0.11693167264510923,5.960464477539063e-08,0.002967063189595707,0.006224088383564,5.960464477539063e-08,0.13940468978389703,0.17744212314807456,0.9970651531548446,0.002195901901196376,0.0007389449439590607,0.9943047224985241,0.005331099763332803,0.00036417773814311204,3.2782554626464844e-06,0.11950903383987341,0.2512202470951839,3.2782554626464844e-06,True,False
brier,attention,gated,25,0.04818129449349444,0.04500259560375626,0.0031786988897381956,0.5601714849472046,0.8344181346288981,0.8496078202615261,0.6900379657745361,0.012736330811037295,0.02891341042080082,0.19481966860200833,0.47804552925981153,0.3271348021381802,0.06820538076380757,0.7945417203448213,0.1372528988913712,1.0,1.0,1.0,1.0,False,False
brier,attention,late,25,0.04818129449349444,0.03384170019933832,0.014339594294156124,0.008822321891784668,0.29123260111421556,0.3374200762412155,0.10775214433670044,0.022782510097309583,0.037072840820526996,0.03971275907427247,0.3336904182392788,0.6265968226864487,0.008134370964397888,0.6549123587689063,0.3369532702666958,0.2205580472946167,1.0,1.0,1.0,False,False
brier,attention,logvar,25,0.04818129449349444,0.44331073143284494,-0.3951294369393505,5.960464477539063e-08,1.814714390578156e-18,1.7154808222665127e-17,5.960464477539063e-08,0.40540307249426805,0.4227920472551844,1.0,0.0,5.090044811889716e-19,1.0,0.0,2.8930683178906933e-19,3.2782554626464844e-06,8.529157635717334e-17,8.06275986465261e-16,3.2782554626464844e-06,True,True
brier,attention,raw1d,25,0.04818129449349444,0.06255898565436424,-0.014377691160869809,0.15633821487426758,0.4769827913842992,0.5185038294730898,1.0,0.02702261109465812,0.048425180069105005,0.5861258341933082,0.29763842873674684,0.11623573706994494,0.38998340363915446,0.5615506646800326,0.04846593168081293,1.0,1.0,1.0,1.0,False,False
brier,attention,raw1d_wide,25,0.04818129449349444,0.056711377128224216,-0.008530082634729768,0.16449612379074097,0.5889958310168066,0.6239029685561008,0.2295229434967041,0.01842719236948777,0.03517886615271331,0.46279921620477127,0.41429105051510745,0.1229097332801213,0.2343178534533439,0.7259608771450217,0.039721269401634465,1.0,1.0,1.0,1.0,False,False
brier,attention,score,25,0.04818129449349444,0.04969236229727689,-0.0015110678037824439,0.8739878535270691,0.9226784147496759,0.9298466167828174,1.0,0.011299810538140796,0.027868064243362533,0.29335252981292753,0.47554836509443876,0.23109910509263362,0.12089685080927833,0.7914036734496042,0.08769947574111746,1.0,1.0,1.0,1.0,False,False
brier,attention,shallow,25,0.04818129449349444,0.06450789737731323,-0.01632660288381879,0.0011548399925231934,0.1979556753244787,0.24148688438529384,0.004077315330505371,0.024161602225570317,0.03742298424337995,0.6937059606204286,0.28470965347081856,0.021584385908752883,0.38416911176021923,0.612304763617314,0.003526124622466694,0.035800039768218994,1.0,1.0,0.13047409057617188,True,False
brier,attention,spec2d,25,0.04818129449349444,0.05531074243645676,-0.00712944794296232,0.5964998602867126,0.6833109458921875,0.7112812879240352,1.0,0.018099578975399523,0.03666742972572978,0.43467002099858654,0.39982154386787677,0.1655084351335367,0.23161011717010008,0.7037964142970645,0.06459346853283549,1.0,1.0,1.0,1.0,False,False
brier,attention,spec2d_wide,25,0.04818129449349444,0.04865351237640349,-0.00047221788290904317,0.8119303584098816,0.977731464233071,0.9798013783649038,0.6900379657745361,0.01111020181236779,0.029115866220800875,0.28729030661324223,0.44393811379579845,0.2687715795909594,0.1274579509237752,0.7559038825405113,0.11663816653571343,1.0,1.0,1.0,1.0,False,False
brier,early,gated,25,0.16511296713860368,0.04500259560375626,0.12011037153484741,5.960464477539063e-08,0.0008198912173812951,0.0019892153113675146,5.960464477539063e-08,0.14006532872082786,0.17384073811775624,0.0001834581397994294,0.0007238499284636379,0.9990926919317369,8.169717867128522e-05,0.0018965904916584675,0.9980217123296703,3.2782554626464844e-06,0.036075213564776984,0.08752547370017064,3.2782554626464844e-06,True,True
brier,early,late,25,0.16511296713860368,0.03384170019933832,0.13127126693926536,5.960464477539063e-08,0.0006428369482338042,0.001601145099858245,5.960464477539063e-08,0.1525428897538817,0.18854686422522102,0.00015092578712165737,0.0005287283288716305,0.9993203458840068,7.062588226444825e-05,0.001350312781345675,0.9985790613363899,3.2782554626464844e-06,0.02892766267052119,0.07205152949362102,3.2782554626464844e-06,True,True
brier,early,logvar,25,0.16511296713860368,0.44331073143284494,-0.2781977642942413,5.960464477539063e-08,1.799096733111702e-08,9.960500421960679e-08,5.960464477539063e-08,0.2996086914389878,0.3358484499682461,0.999999982728272,1.253143998258935e-08,4.7402880651847544e-09,0.9999999664465276,3.1026205400595086e-08,2.52726704434092e-09,3.2782554626464844e-06,8.275844972313828e-07,4.581830194101912e-06,3.2782554626464844e-06,True,True
brier,early,raw1d,25,0.16511296713860368,0.06255898565436424,0.10255398148423943,5.960464477539063e-08,0.0032475711375934686,0.006740446359308888,5.960464477539063e-08,0.12248715150279231,0.15622568432350922,0.0007408314306453914,0.0027496754439282345,0.9965094931254264,0.00033345104084247,0.00697693608140959,0.9926896128777479,3.2782554626464844e-06,0.12665527436614527,0.26287740801304665,3.2782554626464844e-06,True,False
brier,early,raw1d_wide,25,0.16511296713860368,0.056711377128224216,0.10840159001037947,5.960464477539063e-08,0.0029148544838993513,0.006127323099882535,5.960464477539063e-08,0.1291895098401278,0.16437477715072657,0.0006854753618673662,0.0023607368167857246,0.9969537878213469,0.00031857407901950314,0.00590484325557683,0.9937765826654037,3.2782554626464844e-06,0.11950903383987341,0.2512202470951839,3.2782554626464844e-06,True,False
brier,early,score,25,0.16511296713860368,0.04969236229727689,0.1154206048413268,5.960464477539063e-08,0.000877432509226106,0.0021131423519300673,5.960464477539063e-08,0.13473279095592927,0.16742025734792124,0.00019125000947488546,0.0008044385740453297,0.9990043114164798,8.291416407795442e-05,0.00213943334593103,0.9977776524899911,3.2782554626464844e-06,0.037729597896722554,0.09086512113299289,3.2782554626464844e-06,True,True
brier,early,shallow,25,0.16511296713860368,0.06450789737731323,0.10060506976129042,1.1920928955078125e-07,0.00338591805304958,0.006993029460879303,1.5497207641601562e-06,0.12026254299660534,0.15353443629329358,0.0007645407965291174,0.002908725821800018,0.9963267333816709,0.0003404167610966913,0.007415296465129284,0.9922442867737741,4.5299530029296875e-06,0.12673644570925147,0.26287740801304665,5.888938903808594e-05,True,False
brier,early,spec2d,25,0.16511296713860368,0.05531074243645676,0.10980222470214691,5.960464477539063e-08,0.0011223064100251352,0.002630646133983276,5.960464477539063e-08,0.1286623412595589,0.16058464267386177,0.00024042079226195367,0.0010524167434831089,0.998707162464255,0.00010226876410944258,0.002818118903748612,0.9970796123321419,3.2782554626464844e-06,0.04713686922105568,0.11048713762729759,3.2782554626464844e-06,True,True
brier,early,spec2d_wide,25,0.16511296713860368,0.04865351237640349,0.1164594547622002,1.1920928955078125e-07,0.00333516962392767,0.006900530432604117,1.5497207641601562e-06,0.13917138503116508,0.17761319855546148,0.0008386110024923833,0.0024275615633521097,0.9967338274341555,0.0004170761964507587,0.005856071250263328,0.993726852553286,4.5299530029296875e-06,0.12673644570925147,0.26287740801304665,5.888938903808594e-05,True,False
brier,gated,late,25,0.04500259560375626,0.03384170019933832,0.011160895404417927,0.07547956705093384,0.48817595882297693,0.5291352004002685,0.2295229434967041,0.021233582948588438,0.03828243664248249,0.09722186183900353,0.3738924910759882,0.5288856470850083,0.030503470203853845,0.6783519054777609,0.29114462431838534,1.0,1.0,1.0,1.0,False,False
brier,gated,logvar,25,0.04500259560375626,0.44331073143284494,-0.3983081358290887,5.960464477539063e-08,1.2645630614487111e-18,1.1987914832285798e-17,5.960464477539063e-08,0.4085038929874147,0.4257610521446421,1.0,0.0,3.560873979666805e-19,1.0,0.0,2.0315461058825348e-19,3.2782554626464844e-06,6.069902694953813e-17,5.754199119497183e-16,3.2782554626464844e-06,True,True
brier,gated,raw1d,25,0.04500259560375626,0.06255898565436424,-0.017556390050608002,0.017312347888946533,0.28228041205822424,0.32840221533918107,0.2295229434967041,0.027698482657023262,0.044864810137991255,0.6799009066060628,0.2715366241116842,0.048562469282252954,0.43980241054263886,0.5466178980471418,0.013579691410219433,0.39818400144577026,1.0,1.0,1.0,False,False
brier,gated,raw1d_wide,25,0.04500259560375626,0.056711377128224216,-0.011708781524467965,0.06670159101486206,0.4292355033881983,0.47285553586330725,0.42435622215270996,0.02096120566091262,0.03662169594459977,0.5462202633336611,0.37926435602698993,0.07451538063934893,0.28718950586027864,0.6930623353506915,0.019748158789029843,1.0,1.0,1.0,1.0,False,False
brier,gated,score,25,0.04500259560375626,0.04969236229727689,-0.004689766693520639,0.42614197731018066,0.7587149560479605,0.7805063986769943,0.2295229434967041,0.014280864306905727,0.03051458735821719,0.36402903095434647,0.46588790770676847,0.17008306133888504,0.16027934517283093,0.78224342518142,0.05747722964574909,1.0,1.0,1.0,1.0,False,False
brier,gated,shallow,25,0.04500259560375626,0.06450789737731323,-0.01950530177355699,0.002025127410888672,0.1963571618368716,0.2397984378346363,0.01463329792022705,0.028831202730914218,0.04461605858874806,0.7383137603476195,0.23380284891159298,0.02788339074078751,0.48669538073860624,0.5069302147531966,0.006374404508197205,0.058728694915771484,1.0,1.0,0.4097323417663574,False,False
brier,gated,spec2d,25,0.04500259560375626,0.05531074243645676,-0.010308146832700517,0.17295855283737183,0.5761476531612525,0.6119143888046197,0.10775214433670044,0.021865045678646014,0.04142604930510005,0.5066885703619443,0.35569193442803293,0.1376194952100228,0.29951371893738227,0.6461655354065271,0.05432074565609069,1.0,1.0,1.0,1.0,False,False
brier,gated,spec2d_wide,25,0.04500259560375626,0.04865351237640349,-0.00365091677264724,0.8531995415687561,0.8551854531376037,0.868512551078042,0.6900379657745361,0.01622566655136802,0.037509466756092014,0.37556149128539945,0.3759655858878923,0.2484729228267082,0.20843562632864082,0.669699786613759,0.12186458705760013,1.0,1.0,1.0,1.0,False,False
brier,late,logvar,25,0.03384170019933832,0.44331073143284494,-0.4094690312335066,5.960464477539063e-08,2.446713958196205e-19,2.3470450925743178e-18,5.960464477539063e-08,0.41923379182993564,0.4357614537904983,1.0,0.0,6.978907439136346e-20,1.0,0.0,4.0311074468300916e-20,3.2782554626464844e-06,1.1988898395161405e-17,1.1500520953614157e-16,3.2782554626464844e-06,True,True
