model_a,model_b,n,mean_a,mean_b,mean_diff,p_naive_wilcoxon,p_corrected,p_corrected_conservative,p_sign,delta_min_naive,delta_min_corrected,bayes_p_b_better_r01,bayes_p_equiv_r01,bayes_p_a_better_r01,bayes_p_b_better_r02,bayes_p_equiv_r02,bayes_p_a_better_r02,p_naive_wilcoxon_holm,p_corrected_holm,p_corrected_conservative_holm,p_sign_holm,sig_naive,sig_corrected
attention,early,25,0.9766684333073818,0.8985253379210004,0.0781430953863814,1.8197386214786344e-05,0.00714600516431587,0.013485798859840204,1.1920928955078125e-07,0.09502921814763654,0.12361037239781344,0.0014456860294467205,0.007067570222015651,0.9914867437485376,0.0005700189833466135,0.01875634662077208,0.9806736343958813,0.0009262419294901472,0.3358622427228459,0.6338325464124897,6.318092346191406e-06,True,False
attention,gated,25,0.9766684333073818,0.9802225353692829,-0.0035541020619010498,0.3564281779248196,0.8268910473729575,0.8427510732284834,0.6636238098144531,0.013768388449599243,0.031056909854413714,0.3459899817558438,0.45028000191520423,0.20373001632895194,0.15824107945829802,0.7638421510249298,0.07791676951677223,1.0,1.0,1.0,1.0,False,False
attention,late,25,0.9766684333073818,0.9856275833734836,-0.008959150066101786,0.12938802991528872,0.5899295791449118,0.6247733551485996,0.143463134765625,0.01938036080857023,0.037019118735138336,0.4749616956166659,0.39550522415414235,0.12953308022919174,0.2536299393175602,0.7012871465538267,0.04508291412861298,1.0,1.0,1.0,1.0,False,False
attention,logvar,25,0.9766684333073818,0.9543037175218549,0.02236471578552697,0.006352879161562993,0.2204172961472155,0.26503249899403536,0.006610751152038574,0.03365901518376853,0.05277554760585239,0.04056415535503479,0.20610805301823354,0.7533277916267317,0.01270797559899258,0.43492888458203016,0.5523631398189772,0.2538965289393266,1.0,1.0,0.2842622995376587,False,False
attention,raw1d,25,0.9766684333073818,0.9685452543451128,0.008123178962268844,0.14427858657648204,0.6105020716412807,0.6439204853136435,0.18924713134765625,0.01812403232702521,0.03505130075286818,0.13044295665831204,0.4165197907630812,0.4530372525786067,0.04330363118422432,0.7277799791749444,0.22891638964083133,1.0,1.0,1.0,1.0,False,False
attention,raw1d_wide,25,0.9766684333073818,0.9760226498776067,0.0006457834297751397,0.6578790632425155,0.9622873207464238,0.9657912398480434,1.0,0.009233860976716173,0.023769889913139577,0.21930613372626936,0.532932458915589,0.2477614073581415,0.06985257805646404,0.8476217781141105,0.08252564382942539,1.0,1.0,1.0,1.0,False,False
attention,score,25,0.9766684333073818,0.9761319624286984,0.0005364708786835238,0.616156690271839,0.9648537856053672,0.9681195466986069,0.8145294189453125,0.008192202202503723,0.021150158327640414,0.19525684884261832,0.5848048637218402,0.21993828743554159,0.05060344796656325,0.8897512239607661,0.05964532807267066,1.0,1.0,1.0,1.0,False,False
attention,shallow,25,0.9766684333073818,0.9639763728344529,0.012692060472928932,0.05156085982342356,0.40939302136493283,0.4537294222560147,0.0931396484375,0.022296823468552336,0.03855367630537839,0.07317348679880786,0.35689845590892644,0.5699280572922657,0.02037178116146924,0.6630523784014554,0.31657584043707543,1.0,1.0,1.0,1.0,False,False
attention,spec2d,25,0.9766684333073818,0.971995353783713,0.004673079523668671,0.22078514733012833,0.6517342400789173,0.6821388919143958,0.1795654296875,0.011169524440962262,0.022165292793717307,0.08207490724543577,0.6143602703154497,0.30356482243911453,0.01190469147303312,0.9146513200751024,0.07344398845186452,1.0,1.0,1.0,1.0,False,False
attention,spec2d_wide,25,0.9766684333073818,0.9819657042625475,-0.005297270955165701,0.1122812835456752,0.6703843274521907,0.6993634703987057,0.8238029479980469,0.013108577854371112,0.02632985846082966,0.35271370173885414,0.5345924294601198,0.11269386880102603,0.12169285861243742,0.8529925101712971,0.025314631216265534,1.0,1.0,1.0,1.0,False,False
early,gated,25,0.8985253379210004,0.9802225353692829,-0.08169719744828244,1.2268056633232531e-05,0.001974260740447285,0.0043419872994374924,5.960464477539063e-08,0.09664838066128878,0.1219544902801334,0.9972259690336546,0.00243240085258085,0.0003416301137645811,0.9925301824767221,0.007353362747693387,0.00011645477558452421,0.0006747431148277892,0.103528883634234,0.22796867820956707,3.2782554626464844e-06,True,False
early,late,25,0.8985253379210004,0.9856275833734836,-0.08710224545248316,1.8179489321282247e-05,0.0013353223858737593,0.0030698982605463355,1.1920928955078125e-07,0.10235035570226524,0.12815903879869983,0.9981388956736853,0.0016267884794251754,0.00023431584688952438,0.9949916981996693,0.004926952106650759,8.134969367997991e-05,0.0009262419294901472,0.072107408837183,0.16577450606950211,6.318092346191406e-06,True,False
early,logvar,25,0.8985253379210004,0.9543037175218549,-0.05577837960085443,2.068550465098457e-05,0.003933206236009037,0.007980030838900011,2.9802322387695312e-06,0.06688812376493976,0.08569228124520455,0.9924651731991148,0.007055317174800437,0.0004795096260848041,0.9740835923634531,0.02580346180675888,0.00011294582978801809,0.0009929042232472594,0.1927271055644428,0.39102151110610056,0.0001430511474609375,True,False
early,raw1d,25,0.8985253379210004,0.9685452543451128,-0.07001991642411254,1.816160646059112e-05,0.003516499364587198,0.007230244937105931,1.1920928955078125e-07,0.08376711849442285,0.10703539081691338,0.9947288875111946,0.004708966950671351,0.0005621455381340565,0.9851620719470753,0.014662570988991522,0.00017535706393319802,0.0009262419294901472,0.1758249682293599,0.3615122468552966,6.318092346191406e-06,True,False
early,raw1d_wide,25,0.8985253379210004,0.9760226498776067,-0.07749731195660625,1.3835874875457987e-05,0.0019533751629100754,0.00430129581527485,1.5497207641601562e-06,0.0916623170485728,0.11563775541367591,0.9970954257972159,0.002586135166936903,0.0003184390358472129,0.9917700213223781,0.008127809747855817,0.00010216892976605805,0.0007333013683992733,0.103528883634234,0.22796867820956707,7.748603820800781e-05,True,False
early,score,25,0.8985253379210004,0.9761319624286984,-0.07760662450769787,3.085133552288671e-05,0.005247104630153876,0.010283119806246925,5.7220458984375e-06,0.09366711546576278,0.12085081985403442,0.9933744682111931,0.005623623901314733,0.001001907887492138,0.984077040193267,0.015549510802636737,0.0003734490040962359,0.0014500127695756754,0.25186102224738605,0.49358975069985245,0.0002689361572265625,True,False
early,shallow,25,0.8985253379210004,0.9639763728344529,-0.06545103491345246,1.7719332394307358e-05,0.0031068865600663237,0.006482205077822592,1.5497207641601562e-06,0.0781022476171743,0.09951546762328037,0.9948598221084946,0.004692534882102607,0.0004476430094028414,0.984201615935302,0.015672630785756283,0.0001257532789417388,0.0009214052845039826,0.15845121456338251,0.3305924589689522,7.748603820800781e-05,True,False
early,spec2d,25,0.8985253379210004,0.971995353783713,-0.07347001586271272,5.124899723791283e-05,0.017374834615279867,0.02931875007758689,0.00015652179718017578,0.09174039082346966,0.12266450598862258,0.9814517509863699,0.014644986483397812,0.003903262530232246,0.9623763288707471,0.035925548727349835,0.0016981224019030764,0.00235745387294399,0.7992423923028739,1.0,0.00704348087310791,True,False
early,spec2d_wide,25,0.8985253379210004,0.9819657042625475,-0.0834403663415471,1.2279185361336645e-05,0.0010059104779923977,0.0023865216416165424,5.960464477539063e-08,0.09760489550996065,0.12157952833523251,0.998473542428929,0.0013642993768758957,0.00016215819419505368,0.9955384400041453,0.004409726575916985,5.183341993775034e-05,0.0006747431148277892,0.05532507628958187,0.13125869028890982,3.2782554626464844e-06,True,False
gated,late,25,0.9802225353692829,0.9856275833734836,-0.005405048004200736,0.3740384228342273,0.6326223572872857,0.6644486562467551,0.1670684814453125,0.012497753506530504,0.024502742033458494,0.3421273299657547,0.5677299274422518,0.0901427425919935,0.10171523348908773,0.88225317705353,0.016031589457382305,1.0,1.0,1.0,1.0,False,False
gated,logvar,25,0.9802225353692829,0.9543037175218549,0.02591881784742802,0.0016380762944715962,0.15905079859357552,0.19984164255665082,0.010622024536132812,0.03724976102835559,0.05642831607221392,0.027662763070668738,0.162783391777937,0.8095538451513943,0.008308038928805115,0.3631112724675688,0.628580688603626,0.06879920436780704,1.0,1.0,0.4461250305175781,False,False
gated,raw1d,25,0.9802225353692829,0.9685452543451128,0.011677281024169895,0.0343620410369154,0.44171894562456976,0.48483937440181474,0.0931396484375,0.021162523281647742,0.03721707742022727,0.07970626173880357,0.3760303084227453,0.5442634298384511,0.02217625493133303,0.6866592231331095,0.2911645219355575,1.0,1.0,1.0,1.0,False,False
gated,raw1d_wide,25,0.9802225353692829,0.9760226498776067,0.00419988549167619,0.1971284589763863,0.7275723475550633,0.7519719246671649,0.26317596435546875,0.011771404594301198,0.024586824595677594,0.12252260976371272,0.5620512597137557,0.31542613052253154,0.026743761053722517,0.8745875670253986,0.09866867192087876,1.0,1.0,1.0,1.0,False,False
gated,score,25,0.9802225353692829,0.9761319624286984,0.0040905729405845736,0.5807814879954503,0.7810231404787826,0.8009043320364566,0.8318119049072266,0.013336149273654375,0.028985049085846162,0.1712564976991657,0.48461982589299646,0.3441236764078378,0.055407624062889696,0.802052427852399,0.14253994808471127,1.0,1.0,1.0,1.0,False,False
gated,shallow,25,0.9802225353692829,0.9639763728344529,0.01624616253482998,0.02110365755953798,0.29382895556609595,0.34002910443947565,0.13380050659179688,0.025864456052458528,0.04214421041274157,0.04788459088033882,0.2938838360824497,0.6582315730372115,0.012403293635191187,0.5844696411935215,0.40312706517128727,0.7175243570242913,1.0,1.0,1.0,False,False
