metric,model_a,model_b,n,mean_a,mean_b,mean_diff,p_naive_wilcoxon,p_corrected,p_corrected_conservative,p_sign,delta_min_naive,delta_min_corrected,bayes_p_b_better_r01,bayes_p_equiv_r01,bayes_p_a_better_r01,bayes_p_b_better_r02,bayes_p_equiv_r02,bayes_p_a_better_r02,p_naive_wilcoxon_holm,p_corrected_holm,p_corrected_conservative_holm,p_sign_holm,sig_naive,sig_corrected,bayes_p_b_better_r05,bayes_p_equiv_r05,bayes_p_a_better_r05
log_loss,raw1d_wide,score,25,0.11455510668799627,0.09506125127868227,0.01949385540931401,0.0050716400146484375,0.2348033535624313,0.27994944634357793,0.043285250663757324,0.029657584083911195,0.0468605323931663,,,,0.01052651006979321,0.5019641271691435,0.48750936276106327,0.1369342803955078,1.0,1.0,1.0,False,False,0.00010996767854404094,0.9656204039766854,0.034269628344770695
log_loss,raw1d_wide,shallow,25,0.11455510668799627,0.11796198669726676,-0.0034068800092704825,0.6915188431739807,0.8666067961261197,0.8789020381797805,1.0,0.01615726929007248,0.037738353825390446,,,,0.20821842368325894,0.6643377266626895,0.12744384965405148,1.0,1.0,1.0,1.0,False,False,0.014522089582038385,0.9786489309229516,0.006828979495010005
log_loss,raw1d_wide,spec2d,25,0.11455510668799627,0.10538189589720323,0.009173210790793059,0.18172985315322876,0.6575907794541974,0.687551728218205,0.42435622215270996,0.02216007085607931,0.04414140168017306,,,,0.08318049310671392,0.6162333024868818,0.3005862044064043,1.0,1.0,1.0,1.0,False,False,0.003975071801226773,0.9674123914784886,0.02861253672028464
log_loss,raw1d_wide,spec2d_wide,25,0.11455510668799627,0.09188348425881887,0.022671622429177404,0.02027493715286255,0.34585238911702687,0.39175678102460615,0.2295229434967041,0.03765297617114981,0.0630101518964287,,,,0.04143134656808971,0.4139316015231743,0.544637051908736,0.4460486173629761,1.0,1.0,1.0,False,False,0.0025501295037013297,0.8685368946091314,0.12891297588716727
log_loss,score,shallow,25,0.09506125127868227,0.11796198669726676,-0.02290073541858449,0.0010271072387695312,0.18072097565803694,0.22318517412068206,0.004077315330505371,0.03345550938105991,0.0513203340635756,,,,0.5685810659927374,0.42325319675507994,0.008165737252182646,0.03184032440185547,1.0,1.0,0.1263967752456665,True,False,0.05793048827695068,0.9419712172232476,9.829449980172238e-05
log_loss,score,spec2d,25,0.09506125127868227,0.10538189589720323,-0.010320644618520948,0.019117271543546473,0.4417970491460628,0.4849142378409104,0.049041748046875,0.018705368163635196,0.0328972036948716,,,,0.23517489850082696,0.7495261370510697,0.015298964448103282,0.4396972455015689,1.0,1.0,1.0,False,False,0.003051996851672265,0.9968862160483031,6.178710002471689e-05
log_loss,score,spec2d_wide,25,0.09506125127868227,0.09188348425881887,0.0031777670198633993,0.7914759516716003,0.8874650339323235,0.8978638333799988,1.0,0.01729544747954508,0.041190785004787525,,,,0.153629685829841,0.6182000819874813,0.22817023218267776,1.0,1.0,1.0,1.0,False,False,0.012432824111675511,0.9647070798484608,0.02286009603986361
log_loss,shallow,spec2d,25,0.11796198669726676,0.10538189589720323,0.012580090800063542,0.07547956705093384,0.4900521389334264,0.5309148040822109,0.2295229434967041,0.023983233608786743,0.04328399247219608,,,,0.04098736637990649,0.6175393435827758,0.3414732900373176,1.0,1.0,1.0,1.0,False,False,0.0009510711475692522,0.9751146204544857,0.023934308397945126
log_loss,shallow,spec2d_wide,25,0.11796198669726676,0.09188348425881887,0.026078502438447893,0.0010271072387695312,0.1740226436003691,0.21601126840690674,0.004077315330505371,0.037906366072911396,0.057925999932397325,,,,0.0103794085424785,0.3630424143801142,0.6265781770774073,0.03184032440185547,1.0,1.0,0.1263967752456665,True,False,0.00021140074124975357,0.8942759391434437,0.10551266011530656
log_loss,spec2d,spec2d_wide,25,0.10538189589720323,0.09188348425881887,0.013498411638384349,0.04826241731643677,0.5205284547617299,0.5597302856852105,0.10775214433670044,0.02665108666489935,0.048913072974617076,,,,0.05933242207765511,0.562584889254693,0.378082688667652,0.820461094379425,1.0,1.0,1.0,False,False,0.0026409613486041345,0.9520771144913717,0.04528192416002415
brier,attention,early,25,0.04818129449349444,0.16511296713860368,-0.11693167264510923,5.960464477539063e-08,0.002967063189595707,0.006224088383564,5.960464477539063e-08,0.13940468978389703,0.17744212314807456,0.9970651531548446,0.002195901901196376,0.0007389449439590607,0.9943047224985241,0.005331099763332803,0.00036417773814311204,3.2782554626464844e-06,0.11950903383987341,0.2512202470951839,3.2782554626464844e-06,True,False,,,
brier,attention,gated,25,0.04818129449349444,0.04500259560375626,0.0031786988897381956,0.5601714849472046,0.8344181346288981,0.8496078202615261,0.6900379657745361,0.012736330811037295,0.02891341042080082,0.19481966860200833,0.47804552925981153,0.3271348021381802,0.06820538076380757,0.7945417203448213,0.1372528988913712,1.0,1.0,1.0,1.0,False,False,,,
brier,attention,late,25,0.04818129449349444,0.03384170019933832,0.014339594294156124,0.008822321891784668,0.29123260111421556,0.3374200762412155,0.10775214433670044,0.022782510097309583,0.037072840820526996,0.03971275907427247,0.3336904182392788,0.6265968226864487,0.008134370964397888,0.6549123587689063,0.3369532702666958,0.2205580472946167,1.0,1.0,1.0,False,False,,,
brier,attention,logvar,25,0.04818129449349444,0.44331073143284494,-0.3951294369393505,5.960464477539063e-08,1.814714390578156e-18,1.7154808222665127e-17,5.960464477539063e-08,0.40540307249426805,0.4227920472551844,1.0,0.0,5.090044811889716e-19,1.0,0.0,2.8930683178906933e-19,3.2782554626464844e-06,8.529157635717334e-17,8.06275986465261e-16,3.2782554626464844e-06,True,True,,,
brier,attention,raw1d,25,0.04818129449349444,0.06255898565436424,-0.014377691160869809,0.15633821487426758,0.4769827913842992,0.5185038294730898,1.0,0.02702261109465812,0.048425180069105005,0.5861258341933082,0.29763842873674684,0.11623573706994494,0.38998340363915446,0.5615506646800326,0.04846593168081293,1.0,1.0,1.0,1.0,False,False,,,
brier,attention,raw1d_wide,25,0.04818129449349444,0.056711377128224216,-0.008530082634729768,0.16449612379074097,0.5889958310168066,0.6239029685561008,0.2295229434967041,0.01842719236948777,0.03517886615271331,0.46279921620477127,0.41429105051510745,0.1229097332801213,0.2343178534533439,0.7259608771450217,0.039721269401634465,1.0,1.0,1.0,1.0,False,False,,,
