acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,f1_c2,recall_c2,recall_ictal,cm,model,repeat,fold,params,sec,blend_w
0.97,0.9661885382970924,0.9767441860465116,0.9583333333333334,0.9984722222222221,0.9873417721518988,0.975,0.963855421686747,1.0,0.9473684210526315,0.9,0.9,"[[39, 1, 0], [0, 40, 0], [0, 2, 18]]",spec2d,0,2,32227,10.826583800000662,
0.97,0.9619104146881924,0.9659927257167308,0.9583333333333334,0.9904166666666666,0.9876543209876543,1.0,0.975,0.975,0.9230769230769231,0.9,0.9,"[[40, 0, 0], [0, 39, 1], [1, 1, 18]]",raw1d_wide,0,2,99795,158.85664279999764,
0.95,0.9443671313590012,0.9599303135888503,0.9333333333333332,0.9986111111111112,0.9629629629629629,0.975,0.9512195121951219,0.975,0.918918918918919,0.85,0.85,"[[39, 1, 0], [1, 39, 0], [1, 2, 17]]",spec2d_wide,0,2,97775,21.162459400002263,
0.96,0.9585261621846989,0.9595238095238096,0.9583333333333334,0.9959722222222221,0.9743589743589743,0.95,0.9512195121951219,0.975,0.95,0.95,0.95,"[[38, 2, 0], [0, 39, 1], [0, 1, 19]]",late,0,2,98571,44.75670150000224,
0.96,0.9528805478172567,0.9696969696969697,0.9416666666666668,0.9989583333333333,0.9873417721518988,0.975,0.9523809523809523,1.0,0.918918918918919,0.85,0.85,"[[39, 1, 0], [0, 40, 0], [0, 3, 17]]",gated,0,2,98698,80.15381750000233,
0.98,0.9790044317822096,0.9835365853658536,0.975,0.9928472222222222,0.9876543209876543,1.0,0.975,0.975,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [1, 39, 0], [0, 1, 19]]",attention,0,2,98544,72.54906060000212,
0.87,0.8597168597168597,0.8591800356506237,0.8666666666666667,0.9729861111111111,0.8648648648648649,0.8,0.9047619047619048,0.95,0.8095238095238095,0.85,0.85,"[[32, 4, 4], [1, 38, 1], [1, 2, 17]]",early,0,2,97507,28.364308000003803,
0.97,0.9661885382970924,0.9767441860465116,0.9583333333333334,0.9984722222222221,0.9873417721518988,0.975,0.963855421686747,1.0,0.9473684210526315,0.9,0.9,"[[39, 1, 0], [0, 40, 0], [0, 2, 18]]",score,0,2,59302,0.0842250999994576,0.0
0.6,0.65,0.65,0.65,0.7381944444444444,0.55,0.55,0.5,0.5,0.9,0.9,0.9,"[[22, 18, 0], [18, 20, 2], [0, 2, 18]]",logvar,0,2,3,0.026022800004284363,
0.94,0.9382324992081089,0.9365079365079364,0.9416666666666668,0.9943055555555556,0.961038961038961,0.925,0.926829268292683,0.95,0.926829268292683,0.95,0.95,"[[37, 3, 0], [0, 38, 2], [0, 1, 19]]",shallow,0,2,21,0.02385859999776585,
0.98,0.9790044317822096,0.9835365853658536,0.975,0.9944444444444445,0.9876543209876543,1.0,0.975,0.975,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [1, 39, 0], [0, 1, 19]]",raw1d,0,3,27075,38.14003210000374,
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,1.0,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",spec2d,0,3,32227,17.630793399999675,
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,0.9966666666666667,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",raw1d_wide,0,3,99795,175.7110726000028,
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,0.9977777777777778,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",spec2d_wide,0,3,97775,37.86013790000288,
0.98,0.9791035008694781,0.9841269841269842,0.975,0.9981944444444445,0.975609756097561,1.0,0.9873417721518988,0.975,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [1, 39, 0], [1, 0, 19]]",late,0,3,98571,60.36745389999851,
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,0.9991666666666665,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",gated,0,3,98698,56.87564310000016,
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,0.9977777777777778,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",attention,0,3,98544,60.6378263000006,
0.96,0.9536799620132953,0.9578626444159178,0.9500000000000001,0.9930555555555555,0.975,0.975,0.9629629629629629,0.975,0.9230769230769231,0.9,0.9,"[[39, 0, 1], [1, 39, 0], [0, 2, 18]]",early,0,3,97507,28.33812329999637,
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,1.0,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",score,0,3,59302,0.08209229999920353,0.0
0.6,0.6483709273182957,0.6484848484848484,0.65,0.7502777777777778,0.5714285714285714,0.6,0.47368421052631576,0.45,0.9,0.9,0.9,"[[24, 16, 0], [20, 18, 2], [0, 2, 18]]",logvar,0,3,3,0.025932600001397077,
0.93,0.928182928182928,0.9341350920298289,0.9249999999999999,0.9955555555555556,0.9523809523809523,1.0,0.9090909090909091,0.875,0.9230769230769231,0.9,0.9,"[[40, 0, 0], [4, 35, 1], [0, 2, 18]]",shallow,0,3,21,0.024086500001430977,
0.92,0.9211290001987678,0.9317315026697178,0.9166666666666666,0.9977083333333333,0.9333333333333333,0.875,0.9069767441860465,0.975,0.9230769230769231,0.9,0.9,"[[35, 5, 0], [0, 39, 1], [0, 2, 18]]",raw1d,0,4,27075,82.47470959999919,
0.95,0.958326821899255,0.9585157390035439,0.9583333333333334,0.9975,0.9367088607594937,0.925,0.9382716049382716,0.95,1.0,1.0,1.0,"[[37, 3, 0], [2, 38, 0], [0, 0, 20]]",spec2d,0,4,32227,12.535468000001856,
0.94,0.9375624375624376,0.9445773524720892,0.9333333333333332,0.9986805555555556,0.961038961038961,0.925,0.9285714285714286,0.975,0.9230769230769231,0.9,0.9,"[[37, 3, 0], [0, 39, 1], [0, 2, 18]]",raw1d_wide,0,4,99795,164.16485190000094,
0.97,0.9708577901348986,0.9767441860465116,0.9666666666666667,0.9986111111111112,0.963855421686747,1.0,0.9743589743589743,0.95,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [2, 38, 0], [1, 0, 19]]",spec2d_wide,0,4,97775,23.149061600001005,
0.97,0.9707739791073124,0.9754065040650407,0.9666666666666667,0.997638888888889,0.9629629629629629,0.975,0.975,0.975,0.9743589743589743,0.95,0.95,"[[39, 1, 0], [1, 39, 0], [1, 0, 19]]",late,0,4,98571,48.58314359999349,
0.98,0.9833229101521784,0.9841269841269842,0.9833333333333334,0.9994444444444444,0.9743589743589743,0.95,0.975609756097561,1.0,1.0,1.0,1.0,"[[38, 2, 0], [0, 40, 0], [0, 0, 20]]",gated,0,4,98698,61.493332799997006,
0.94,0.9361366786841042,0.9518002322880372,0.9249999999999999,0.9948611111111111,0.9382716049382716,0.95,0.9512195121951219,0.975,0.918918918918919,0.85,0.85,"[[38, 2, 0], [1, 39, 0], [2, 1, 17]]",attention,0,4,98544,62.21170620000339,
0.86,0.8316824962394582,0.8428972987796518,0.8250000000000001,0.967013888888889,0.8809523809523809,0.925,0.9113924050632911,0.9,0.7027027027027027,0.65,0.65,"[[37, 0, 3], [3, 36, 1], [4, 3, 13]]",early,0,4,97507,35.46844989999954,
0.97,0.9749647942419027,0.9767441860465116,0.975,0.9983333333333334,0.961038961038961,0.925,0.963855421686747,1.0,1.0,1.0,1.0,"[[37, 3, 0], [0, 40, 0], [0, 0, 20]]",score,0,4,59302,0.09535719999985304,0.275
0.57,0.629255518144407,0.6187850821997163,0.6416666666666667,0.7635416666666667,0.49382716049382713,0.5,0.44155844155844154,0.425,0.9523809523809523,1.0,1.0,"[[20, 20, 0], [21, 17, 2], [0, 0, 20]]",logvar,0,4,3,0.027445200001238845,
0.95,0.9542786530738337,0.9602203182374541,0.9499999999999998,0.9979861111111111,0.9487179487179487,0.925,0.9397590361445783,0.975,0.9743589743589743,0.95,0.95,"[[37, 3, 0], [1, 39, 0], [0, 1, 19]]",shallow,0,4,21,0.025859500005026348,
0.96,0.9583294264728863,0.9585261621846989,0.9583333333333334,0.9979166666666668,0.9620253164556962,0.95,0.9629629629629629,0.975,0.95,0.95,0.95,"[[38, 2, 0], [0, 39, 1], [1, 0, 19]]",raw1d,1,0,27075,43.672819999999774,
0.96,0.9625346010032642,0.9676434676434676,0.9583333333333334,0.9984722222222221,0.9620253164556962,0.95,0.9512195121951219,0.975,0.9743589743589743,0.95,0.95,"[[38, 2, 0], [1, 39, 0], [0, 1, 19]]",spec2d,1,0,32227,17.476477800002613,
0.96,0.96231078158789,0.9679722562219503,0.9583333333333334,0.9983333333333334,0.9487179487179487,0.925,0.963855421686747,1.0,0.9743589743589743,0.95,0.95,"[[37, 3, 0], [0, 40, 0], [1, 0, 19]]",raw1d_wide,1,0,99795,115.45062080000207,
0.92,0.9138690363647823,0.908695652173913,0.9249999999999999,0.9970833333333333,0.9066666666666666,0.85,0.9512195121951219,0.975,0.8837209302325582,0.95,0.95,"[[34, 2, 4], [1, 39, 0], [0, 1, 19]]",spec2d_wide,1,0,97775,25.526149899997108,
