acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,f1_c2,recall_c2,recall_ictal,cm,model,repeat,fold,axis,variant,params,sec
0.95,0.9443671313590012,0.9599303135888503,0.9333333333333332,0.9986111111111112,0.9629629629629629,0.975,0.9512195121951219,0.975,0.918918918918919,0.85,0.85,"[[39, 1, 0], [1, 39, 0], [1, 2, 17]]",spec2d_wide,0,2,budget,small,97775.0,37.14990609999222
0.95,0.9502659990611798,0.9523255813953488,0.9499999999999998,0.9966666666666667,0.961038961038961,0.925,0.9397590361445783,0.975,0.95,0.95,0.95,"[[37, 3, 0], [0, 39, 1], [0, 1, 19]]",late,0,2,budget,small,73611.0,72.93322629999602
0.96,0.9625929625929626,0.9696969696969697,0.9583333333333334,0.9975,0.961038961038961,0.925,0.9523809523809523,1.0,0.9743589743589743,0.95,0.95,"[[37, 3, 0], [0, 40, 0], [0, 1, 19]]",gated,0,2,budget,small,73673.0,72.78259469999466
0.96,0.9524972126598142,0.9678668215253582,0.9416666666666668,0.9938194444444445,0.9629629629629629,0.975,0.975609756097561,1.0,0.918918918918919,0.85,0.85,"[[39, 1, 0], [0, 40, 0], [2, 1, 17]]",attention,0,2,budget,small,73421.0,90.60847039999499
0.97,0.9661885382970924,0.9767441860465116,0.9583333333333334,0.9984722222222221,0.9873417721518988,0.975,0.963855421686747,1.0,0.9473684210526315,0.9,0.9,"[[39, 1, 0], [0, 40, 0], [0, 2, 18]]",score,0,2,budget,small,,0.0
0.6,0.65,0.65,0.65,0.7361111111111112,0.55,0.55,0.5,0.5,0.9,0.9,0.9,"[[22, 18, 0], [18, 20, 2], [0, 2, 18]]",logvar,0,2,budget,small,3.0,0.0
0.95,0.9502659990611798,0.9523255813953488,0.9499999999999998,0.9948611111111111,0.961038961038961,0.925,0.9397590361445783,0.975,0.95,0.95,0.95,"[[37, 3, 0], [0, 39, 1], [0, 1, 19]]",shallow,0,2,budget,small,21.0,0.0
0.98,0.9790044317822096,0.9835365853658536,0.975,0.9944444444444445,0.9876543209876543,1.0,0.975,0.975,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [1, 39, 0], [0, 1, 19]]",raw1d,0,3,budget,small,27075.0,53.498399200005224
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,1.0,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",spec2d,0,3,budget,small,32227.0,27.761200499997358
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,0.9966666666666667,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",raw1d_wide,0,3,budget,small,99795.0,223.06458920000296
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,0.9977777777777778,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",spec2d_wide,0,3,budget,small,97775.0,61.80928820000554
0.98,0.9791035008694781,0.9841269841269842,0.975,0.9974999999999999,0.975609756097561,1.0,0.9873417721518988,0.975,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [1, 39, 0], [1, 0, 19]]",late,0,3,budget,small,73611.0,83.95981020000181
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,0.9997222222222222,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",gated,0,3,budget,small,73673.0,96.64527529999032
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,0.9988888888888888,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",attention,0,3,budget,small,73421.0,119.46135990000039
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,1.0,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",score,0,3,budget,small,,0.0
0.61,0.6578141448942483,0.6446427870075802,0.6749999999999999,0.7265277777777778,0.5432098765432098,0.55,0.5,0.475,0.9302325581395349,1.0,1.0,"[[22, 17, 1], [19, 19, 2], [0, 0, 20]]",logvar,0,3,budget,small,3.0,0.0
0.93,0.928182928182928,0.9341350920298289,0.9249999999999999,0.9948611111111111,0.9523809523809523,1.0,0.9090909090909091,0.875,0.9230769230769231,0.9,0.9,"[[40, 0, 0], [4, 35, 1], [0, 2, 18]]",shallow,0,3,budget,small,21.0,0.0
0.92,0.9211290001987678,0.9317315026697178,0.9166666666666666,0.9977083333333333,0.9333333333333333,0.875,0.9069767441860465,0.975,0.9230769230769231,0.9,0.9,"[[35, 5, 0], [0, 39, 1], [0, 2, 18]]",raw1d,0,4,budget,small,27075.0,114.11459330000798
0.95,0.958326821899255,0.9585157390035439,0.9583333333333334,0.9975,0.9367088607594937,0.925,0.9382716049382716,0.95,1.0,1.0,1.0,"[[37, 3, 0], [2, 38, 0], [0, 0, 20]]",spec2d,0,4,budget,small,32227.0,19.13403269999253
0.94,0.9375624375624376,0.9445773524720892,0.9333333333333332,0.9986805555555556,0.961038961038961,0.925,0.9285714285714286,0.975,0.9230769230769231,0.9,0.9,"[[37, 3, 0], [0, 39, 1], [0, 2, 18]]",raw1d_wide,0,4,budget,small,99795.0,218.98312350000197
0.97,0.9708577901348986,0.9767441860465116,0.9666666666666667,0.9986111111111112,0.963855421686747,1.0,0.9743589743589743,0.95,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [2, 38, 0], [1, 0, 19]]",spec2d_wide,0,4,budget,small,97775.0,44.54491369999596
0.96,0.9588105284307815,0.9526029526029526,0.9666666666666667,0.9995833333333333,0.9620253164556962,0.95,0.9620253164556962,0.95,0.9523809523809523,1.0,1.0,"[[38, 1, 1], [1, 38, 1], [0, 0, 20]]",late,0,4,budget,small,73611.0,77.3362335999991
0.97,0.974996093139553,0.9751928288513655,0.975,0.9977777777777778,0.9620253164556962,0.95,0.9629629629629629,0.975,1.0,1.0,1.0,"[[38, 2, 0], [1, 39, 0], [0, 0, 20]]",gated,0,4,budget,small,73673.0,117.66754989999754
0.94,0.9498746867167919,0.9528619528619529,0.9500000000000001,0.9952777777777778,0.9210526315789473,0.875,0.9285714285714286,0.975,1.0,1.0,1.0,"[[35, 5, 0], [1, 39, 0], [0, 0, 20]]",attention,0,4,budget,small,73421.0,76.59014590000152
0.97,0.9749647942419027,0.9767441860465116,0.975,0.9983333333333334,0.961038961038961,0.925,0.963855421686747,1.0,1.0,1.0,1.0,"[[37, 3, 0], [0, 40, 0], [0, 0, 20]]",score,0,4,budget,small,,0.0
0.58,0.6373148317949345,0.627104377104377,0.65,0.7639583333333334,0.5121951219512195,0.525,0.4473684210526316,0.425,0.9523809523809523,1.0,1.0,"[[21, 19, 0], [21, 17, 2], [0, 0, 20]]",logvar,0,4,budget,small,3.0,0.0
0.96,0.9625346010032642,0.9676434676434676,0.9583333333333334,0.9977777777777778,0.9620253164556962,0.95,0.9512195121951219,0.975,0.9743589743589743,0.95,0.95,"[[38, 2, 0], [1, 39, 0], [0, 1, 19]]",shallow,0,4,budget,small,21.0,0.0
0.96,0.9583294264728863,0.9585261621846989,0.9583333333333334,0.9979166666666668,0.9620253164556962,0.95,0.9629629629629629,0.975,0.95,0.95,0.95,"[[38, 2, 0], [0, 39, 1], [1, 0, 19]]",raw1d,1,0,budget,small,27075.0,68.29882429999998
0.96,0.9625346010032642,0.9676434676434676,0.9583333333333334,0.9984722222222221,0.9620253164556962,0.95,0.9512195121951219,0.975,0.9743589743589743,0.95,0.95,"[[38, 2, 0], [1, 39, 0], [0, 1, 19]]",spec2d,1,0,budget,small,32227.0,28.798963400011417
0.96,0.96231078158789,0.9679722562219503,0.9583333333333334,0.9983333333333334,0.9487179487179487,0.925,0.963855421686747,1.0,0.9743589743589743,0.95,0.95,"[[37, 3, 0], [0, 40, 0], [1, 0, 19]]",raw1d_wide,1,0,budget,small,99795.0,173.70616329999757
0.92,0.9138690363647823,0.908695652173913,0.9249999999999999,0.9970833333333333,0.9066666666666666,0.85,0.9512195121951219,0.975,0.8837209302325582,0.95,0.95,"[[34, 2, 4], [1, 39, 0], [0, 1, 19]]",spec2d_wide,1,0,budget,small,97775.0,50.6095789999963
0.97,0.9670247448025225,0.9615668883961567,0.975,0.9995833333333333,0.9876543209876543,1.0,0.961038961038961,0.925,0.9523809523809523,1.0,1.0,"[[40, 0, 0], [1, 37, 2], [0, 0, 20]]",late,1,0,budget,small,73611.0,127.03971810000075
