acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,f1_c2,recall_c2,recall_ictal,cm,model,repeat,fold,axis,variant,params,sec
0.96,0.96231078158789,0.9679722562219503,0.9583333333333334,0.9979166666666667,0.963855421686747,1.0,0.9487179487179487,0.925,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [3, 37, 0], [0, 1, 19]]",raw1d,0,0,budget,large,27075.0,74.70660269999644
0.94,0.9372072715725966,0.94541910331384,0.9333333333333332,0.9977083333333333,0.9411764705882353,1.0,0.9473684210526315,0.9,0.9230769230769231,0.9,0.9,"[[40, 0, 0], [3, 36, 1], [2, 0, 18]]",spec2d,0,0,budget,large,32227.0,18.683672500003013
0.97,0.9749647942419027,0.9767441860465116,0.975,0.9968055555555555,0.963855421686747,1.0,0.961038961038961,0.925,1.0,1.0,1.0,"[[40, 0, 0], [3, 37, 0], [0, 0, 20]]",raw1d_wide,0,0,budget,large,99795.0,161.13713679999637
0.98,0.9790044317822096,0.9835365853658536,0.975,0.9992361111111111,0.9876543209876543,1.0,0.975,0.975,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [1, 39, 0], [0, 1, 19]]",spec2d_wide,0,0,budget,large,97775.0,44.92935380000563
0.97,0.9706646823040771,0.9755799755799756,0.9666666666666667,0.9985416666666667,0.975609756097561,1.0,0.9620253164556962,0.95,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [2, 38, 0], [0, 1, 19]]",late,0,0,budget,large,178651.0,73.26414930001192
0.96,0.96231078158789,0.9679722562219503,0.9583333333333334,0.9968750000000001,0.963855421686747,1.0,0.9487179487179487,0.925,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [3, 37, 0], [0, 1, 19]]",gated,0,0,budget,large,178393.0,87.45817900000839
0.97,0.9749647942419027,0.9767441860465116,0.975,0.9965277777777777,0.963855421686747,1.0,0.961038961038961,0.925,1.0,1.0,1.0,"[[40, 0, 0], [3, 37, 0], [0, 0, 20]]",attention,0,0,budget,large,178575.0,70.40397749999829
0.93,0.9236594159194779,0.9354354354354354,0.9166666666666666,0.9980555555555556,0.9411764705882353,1.0,0.935064935064935,0.9,0.8947368421052632,0.85,0.85,"[[40, 0, 0], [3, 36, 1], [2, 1, 17]]",score,0,0,budget,large,,0.0
0.6,0.6443989950056684,0.6358799766783275,0.6666666666666666,0.7508333333333334,0.5681818181818182,0.625,0.43478260869565216,0.375,0.9302325581395349,1.0,1.0,"[[25, 14, 1], [23, 15, 2], [0, 0, 20]]",logvar,0,0,budget,large,3.0,0.0
0.96,0.9584530431770482,0.9538239538239538,0.9666666666666667,0.9983333333333334,0.975609756097561,1.0,0.9473684210526315,0.9,0.9523809523809523,1.0,1.0,"[[40, 0, 0], [2, 36, 2], [0, 0, 20]]",shallow,0,0,budget,large,21.0,0.0
0.98,0.9791035008694781,0.9841269841269842,0.975,0.9956944444444443,0.975609756097561,1.0,0.9873417721518988,0.975,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [1, 39, 0], [1, 0, 19]]",raw1d,0,1,budget,large,27075.0,60.798059199994896
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,0.9995833333333333,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",spec2d,0,1,budget,large,32227.0,19.935702300004777
0.97,0.9708577901348986,0.9767441860465116,0.9666666666666667,0.9997916666666667,0.963855421686747,1.0,0.9743589743589743,0.95,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [2, 38, 0], [1, 0, 19]]",raw1d_wide,0,1,budget,large,99795.0,137.37223969999468
0.96,0.9625929625929626,0.9696969696969697,0.9583333333333334,0.9986805555555556,0.9523809523809523,1.0,0.961038961038961,0.925,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [3, 37, 0], [1, 0, 19]]",spec2d_wide,0,1,budget,large,97775.0,29.743935799997416
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,1.0,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",late,0,1,budget,large,178651.0,83.27783809999528
0.98,0.9833229101521784,0.9841269841269842,0.9833333333333334,1.0,0.975609756097561,1.0,0.9743589743589743,0.95,1.0,1.0,1.0,"[[40, 0, 0], [2, 38, 0], [0, 0, 20]]",gated,0,1,budget,large,178393.0,76.18879929999821
0.99,0.9876505094164866,0.9841269841269842,0.9916666666666667,0.9950694444444445,1.0,1.0,0.9873417721518988,0.975,0.975609756097561,1.0,1.0,"[[40, 0, 0], [0, 39, 1], [0, 0, 20]]",attention,0,1,budget,large,178575.0,92.86403409999912
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,1.0,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",score,0,1,budget,large,,0.0
0.55,0.607348474545537,0.5936039432858097,0.625,0.7811111111111111,0.4473684210526316,0.425,0.4444444444444444,0.45,0.9302325581395349,1.0,1.0,"[[17, 23, 0], [19, 18, 3], [0, 0, 20]]",logvar,0,1,budget,large,3.0,0.0
0.98,0.9792076838147299,0.9759969028261711,0.9833333333333334,1.0,0.9876543209876543,1.0,0.9743589743589743,0.95,0.975609756097561,1.0,1.0,"[[40, 0, 0], [1, 38, 1], [0, 0, 20]]",shallow,0,1,budget,large,21.0,0.0
0.96,0.9544005126660954,0.9513519571285939,0.9583333333333334,0.9926388888888887,0.9876543209876543,1.0,0.9487179487179487,0.925,0.926829268292683,0.95,0.95,"[[40, 0, 0], [1, 37, 2], [0, 1, 19]]",raw1d,0,2,budget,large,27075.0,52.57100850000279
0.97,0.9661885382970924,0.9767441860465116,0.9583333333333334,0.9984722222222221,0.9873417721518988,0.975,0.963855421686747,1.0,0.9473684210526315,0.9,0.9,"[[39, 1, 0], [0, 40, 0], [0, 2, 18]]",spec2d,0,2,budget,large,32227.0,15.016676900006132
0.97,0.9619104146881924,0.9659927257167308,0.9583333333333334,0.9904166666666666,0.9876543209876543,1.0,0.975,0.975,0.9230769230769231,0.9,0.9,"[[40, 0, 0], [0, 39, 1], [1, 1, 18]]",raw1d_wide,0,2,budget,large,99795.0,198.92415389999223
0.95,0.9443671313590012,0.9599303135888503,0.9333333333333332,0.9986111111111112,0.9629629629629629,0.975,0.9512195121951219,0.975,0.918918918918919,0.85,0.85,"[[39, 1, 0], [1, 39, 0], [1, 2, 17]]",spec2d_wide,0,2,budget,large,97775.0,32.61335770000005
0.95,0.9458346531517262,0.9433719433719433,0.9499999999999998,0.9975694444444443,0.975609756097561,1.0,0.935064935064935,0.9,0.926829268292683,0.95,0.95,"[[40, 0, 0], [2, 36, 2], [0, 1, 19]]",late,0,2,budget,large,178651.0,91.39577069999359
0.96,0.9625929625929626,0.9696969696969697,0.9583333333333334,0.9961805555555555,0.961038961038961,0.925,0.9523809523809523,1.0,0.9743589743589743,0.95,0.95,"[[37, 3, 0], [0, 40, 0], [0, 1, 19]]",gated,0,2,budget,large,178393.0,66.432092499992
0.94,0.9371846359798166,0.9426764585883313,0.9333333333333332,0.9836111111111112,0.9487179487179487,0.925,0.9397590361445783,0.975,0.9230769230769231,0.9,0.9,"[[37, 3, 0], [0, 39, 1], [1, 1, 18]]",attention,0,2,budget,large,178575.0,72.97933769998781
0.97,0.9661885382970924,0.9767441860465116,0.9583333333333334,0.9984722222222221,0.9873417721518988,0.975,0.963855421686747,1.0,0.9473684210526315,0.9,0.9,"[[39, 1, 0], [0, 40, 0], [0, 2, 18]]",score,0,2,budget,large,,0.0
0.6,0.65,0.65,0.65,0.7361111111111112,0.55,0.55,0.5,0.5,0.9,0.9,0.9,"[[22, 18, 0], [18, 20, 2], [0, 2, 18]]",logvar,0,2,budget,large,3.0,0.0
0.95,0.9502659990611798,0.9523255813953488,0.9499999999999998,0.9948611111111111,0.961038961038961,0.925,0.9397590361445783,0.975,0.95,0.95,0.95,"[[37, 3, 0], [0, 39, 1], [0, 1, 19]]",shallow,0,2,budget,large,21.0,0.0
0.98,0.9790044317822096,0.9835365853658536,0.975,0.9944444444444445,0.9876543209876543,1.0,0.975,0.975,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [1, 39, 0], [0, 1, 19]]",raw1d,0,3,budget,large,27075.0,47.78023889999895
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,1.0,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",spec2d,0,3,budget,large,32227.0,20.53749470000912
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,0.9966666666666667,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",raw1d_wide,0,3,budget,large,99795.0,185.43600129999686
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,0.9977777777777778,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",spec2d_wide,0,3,budget,large,97775.0,49.68984869999986
0.98,0.9791035008694781,0.9841269841269842,0.975,0.9993055555555556,0.975609756097561,1.0,0.9873417721518988,0.975,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [1, 39, 0], [1, 0, 19]]",late,0,3,budget,large,178651.0,67.37981369999761
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,0.9988888888888888,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",gated,0,3,budget,large,178393.0,79.2893483999942
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,0.9995833333333333,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",attention,0,3,budget,large,178575.0,97.6766273000103
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,1.0,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",score,0,3,budget,large,,0.0
0.61,0.6578141448942483,0.6446427870075802,0.6749999999999999,0.7265277777777778,0.5432098765432098,0.55,0.5,0.475,0.9302325581395349,1.0,1.0,"[[22, 17, 1], [19, 19, 2], [0, 0, 20]]",logvar,0,3,budget,large,3.0,0.0
0.93,0.928182928182928,0.9341350920298289,0.9249999999999999,0.9948611111111111,0.9523809523809523,1.0,0.9090909090909091,0.875,0.9230769230769231,0.9,0.9,"[[40, 0, 0], [4, 35, 1], [0, 2, 18]]",shallow,0,3,budget,large,21.0,0.0
0.92,0.9211290001987678,0.9317315026697178,0.9166666666666666,0.9977083333333333,0.9333333333333333,0.875,0.9069767441860465,0.975,0.9230769230769231,0.9,0.9,"[[35, 5, 0], [0, 39, 1], [0, 2, 18]]",raw1d,0,4,budget,large,27075.0,95.9435766999959
0.95,0.958326821899255,0.9585157390035439,0.9583333333333334,0.9975,0.9367088607594937,0.925,0.9382716049382716,0.95,1.0,1.0,1.0,"[[37, 3, 0], [2, 38, 0], [0, 0, 20]]",spec2d,0,4,budget,large,32227.0,14.82473680000112
0.94,0.9375624375624376,0.9445773524720892,0.9333333333333332,0.9986805555555556,0.961038961038961,0.925,0.9285714285714286,0.975,0.9230769230769231,0.9,0.9,"[[37, 3, 0], [0, 39, 1], [0, 2, 18]]",raw1d_wide,0,4,budget,large,99795.0,197.73624450000352
0.97,0.9708577901348986,0.9767441860465116,0.9666666666666667,0.9986111111111112,0.963855421686747,1.0,0.9743589743589743,0.95,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [2, 38, 0], [1, 0, 19]]",spec2d_wide,0,4,budget,large,97775.0,35.905027899993
0.94,0.9412269412269412,0.9393939393939394,0.9500000000000001,0.9968055555555555,0.918918918918919,0.85,0.9523809523809523,1.0,0.9523809523809523,1.0,1.0,"[[34, 4, 2], [0, 40, 0], [0, 0, 20]]",late,0,4,budget,large,178651.0,70.1972311999998
0.97,0.970752824411361,0.9682539682539683,0.975,0.9990277777777777,0.975609756097561,1.0,0.961038961038961,0.925,0.975609756097561,1.0,1.0,"[[40, 0, 0], [2, 37, 1], [0, 0, 20]]",gated,0,4,budget,large,178393.0,85.4033902999945
0.91,0.9122380807774065,0.9387755102040817,0.9,0.990625,0.918918918918919,0.85,0.898876404494382,1.0,0.918918918918919,0.85,0.85,"[[34, 6, 0], [0, 40, 0], [0, 3, 17]]",attention,0,4,budget,large,178575.0,90.06302990000404
