metric,model_a,model_b,n,mean_a,mean_b,mean_diff,p_naive_wilcoxon,p_corrected,p_corrected_conservative,p_sign,delta_min_naive,delta_min_corrected,bayes_p_b_better_r01,bayes_p_equiv_r01,bayes_p_a_better_r01,bayes_p_b_better_r02,bayes_p_equiv_r02,bayes_p_a_better_r02,p_naive_wilcoxon_holm,p_corrected_holm,p_corrected_conservative_holm,p_sign_holm,sig_naive,sig_corrected
brier,attention,early,24,0.2886029137868526,0.33564391875922706,-0.047041004972374484,0.3305051326751709,0.3275926177134094,0.3589611607477206,0.8388197422027588,0.1034251347351652,0.12764227645550535,0.7805207513111887,0.10073900960054916,0.11874023908826215,0.7145592536655762,0.20172337941211782,0.08371736692230601,1.0,1.0,1.0,1.0,False,False
brier,attention,gated,24,0.2886029137868526,0.2596410569749974,0.028961856811855147,0.15998530387878418,0.3509835497345778,0.3821915682887444,0.30745625495910645,0.06543490298164917,0.08110017850833298,0.10652498215839727,0.16308263412152024,0.7303923837200825,0.06057889312248664,0.3248956110994703,0.614525495778043,1.0,1.0,1.0,1.0,False,False
brier,attention,late,24,0.2886029137868526,0.31369584174614196,-0.025092927959289413,0.4389305114746094,0.6809837703605423,0.7003646033715416,0.5412561893463135,0.09734376358640862,0.1283756999336753,0.5977691016693224,0.11922634356820128,0.2830045547624763,0.5333096244312965,0.23575019446417497,0.23094018110452855,1.0,1.0,1.0,1.0,False,False
brier,attention,logvar,24,0.2886029137868526,0.4113818177744211,-0.12277890398756859,0.00037276744842529297,0.006744770420006607,0.010503524107328435,0.006610751152038574,0.1722260322913933,0.193463712447766,0.9940928595979162,0.00400819186239297,0.001898948539690874,0.9898261266315834,0.009116168824436414,0.0010577045439801613,0.02012944221496582,0.3574728322603502,0.556686777688407,0.3371483087539673,True,False
brier,attention,raw1d,24,0.2886029137868526,0.312188538931558,-0.023585625144705438,0.21821892261505127,0.37145728400045186,0.4024214804107211,0.15158963203430176,0.0546066745477896,0.06793030218678395,0.6977198208446564,0.1987111022133129,0.10356907694203066,0.5545060112543261,0.392692936364489,0.05280105238118496,1.0,1.0,1.0,1.0,False,False
brier,attention,raw1d_wide,24,0.2886029137868526,0.3353539170675483,-0.04675100328069578,0.2405325174331665,0.33295159450180295,0.3642950595613607,0.15158963203430176,0.10342522126840366,0.1277669566941672,0.7775937983606609,0.10133417995400984,0.12107202168532927,0.7115326032599727,0.202813356794852,0.08565403994517531,1.0,1.0,1.0,1.0,False,False
brier,attention,score,24,0.2886029137868526,0.2596915840924127,0.028911329694439835,0.060427069664001465,0.19617130934780713,0.22539088849015432,0.30745625495910645,0.05495010962803515,0.06613383856966307,0.0431802380667162,0.15326343254554275,0.803556329387741,0.01708296508281418,0.3256038230302467,0.6573132118869391,1.0,1.0,1.0,1.0,False,False
brier,attention,shallow,24,0.2886029137868526,0.3654413566570806,-0.07683844287022802,0.15150094032287598,0.23208878176141992,0.2625133622178904,0.30745625495910645,0.15189473688247274,0.18413162546699002,0.8516234069275533,0.05902774511762772,0.08934884795481894,0.8133324987889045,0.11889509148960165,0.0677724097214939,1.0,1.0,1.0,1.0,False,False
brier,attention,spec2d,24,0.2886029137868526,0.28293753869453814,0.005665375092314385,0.899570107460022,0.8768348017671578,0.8846774616393452,1.0,0.04900683973685939,0.06762212024362212,0.33440181478017267,0.21279878479823888,0.4527994004215885,0.24243102207951117,0.40988435677763085,0.347684621142858,1.0,1.0,1.0,1.0,False,False
brier,attention,spec2d_wide,24,0.2886029137868526,0.2906713590892777,-0.002068445302425101,0.9888126850128174,0.9475773859837429,0.95093670418504,1.0,0.03937678981385672,0.05540082831876342,0.4005382999386328,0.24860680037693839,0.35085489968442873,0.285023973955025,0.47230719719884623,0.24266882884612878,1.0,1.0,1.0,1.0,False,False
