metric,model_a,model_b,n,mean_a,mean_b,mean_diff,p_naive_wilcoxon,p_corrected,p_corrected_conservative,p_sign,delta_min_naive,delta_min_corrected,bayes_p_b_better_r01,bayes_p_equiv_r01,bayes_p_a_better_r01,bayes_p_b_better_r02,bayes_p_equiv_r02,bayes_p_a_better_r02,p_naive_wilcoxon_holm,p_corrected_holm,p_corrected_conservative_holm,p_sign_holm,sig_naive,sig_corrected
f1_macro,attention,early,24,0.671473803403694,0.6687911129110283,0.0026826904926656875,0.8774070739746094,0.9312117645572704,0.9356153762562497,0.8388197422027588,0.039537631833914885,0.05536693240680148,0.34186721681054566,0.2511536030363513,0.406979180153103,0.23402160769530728,0.4766542346736021,0.2893241576310907,1.0,1.0,1.0,1.0,False,False
f1_macro,attention,gated,24,0.671473803403694,0.6890281739978436,-0.017554370594149493,0.43418687955840585,0.4888512145582975,0.5168902947550368,1.0,0.047474309165927556,0.06032500661758505,0.6175852220354063,0.24193897495333336,0.1404758030112603,0.46139092825131295,0.4656226552530058,0.07298641649568131,1.0,1.0,1.0,1.0,False,False
f1_macro,attention,late,24,0.671473803403694,0.6754339852835995,-0.003960181879905507,0.23554996872208356,0.8991607834617235,0.9055983200475309,0.4048728942871094,0.04101644221469793,0.05693220985940319,0.42339249029158865,0.24873947446592842,0.3278680352424829,0.30437437059268285,0.4725702806337886,0.2230553487735285,1.0,1.0,1.0,1.0,False,False
f1_macro,attention,logvar,24,0.671473803403694,0.62747966299429,0.0439941404094041,0.10109639167785645,0.3803360877244582,0.4111665757140966,0.15158963203430176,0.10296299126124853,0.12829027793167486,0.14182934141497075,0.10636381291433716,0.7518068456706921,0.10305411453775083,0.21208716682731232,0.6848587186349369,1.0,1.0,1.0,1.0,False,False
f1_macro,attention,raw1d,24,0.671473803403694,0.6514447346702764,0.0200290687334176,0.22375715482873781,0.49671826470416275,0.5244833760327398,0.21003961563110352,0.05480010595715459,0.06973436387251139,0.15561815111980629,0.21069655681328203,0.6336852920669117,0.09039262590261113,0.4092118321040248,0.5003955419933641,1.0,1.0,1.0,1.0,False,False
f1_macro,attention,raw1d_wide,24,0.671473803403694,0.6297450892781732,0.04172871412552088,0.16178664110148655,0.2613993513168552,0.29242542706470415,0.21003961563110352,0.08518017046161733,0.10384269270809594,0.08346253594586966,0.11172220955038703,0.8048152545037434,0.051000056335167555,0.22633460087746238,0.72266534278737,1.0,1.0,1.0,1.0,False,False
f1_macro,attention,score,24,0.671473803403694,0.6765703309414995,-0.005096527537805473,0.987048648252314,0.8638434864885803,0.8724983269287341,1.0,0.0403323528024722,0.05546623848373525,0.43447518503375165,0.2593342819821353,0.3061905329841131,0.30845510907666185,0.49056976354864235,0.20097512737469583,1.0,1.0,1.0,1.0,False,False
f1_macro,attention,shallow,24,0.671473803403694,0.6766459023995033,-0.0051720989958092154,0.9664472341537476,0.9239777217667343,0.9288418410463736,0.8388197422027588,0.0694464478032223,0.09705246071146618,0.46451108369474065,0.14563841551910323,0.3898505007861562,0.3922829578340112,0.286165614925025,0.32155142724096375,1.0,1.0,1.0,1.0,False,False
f1_macro,attention,spec2d,24,0.671473803403694,0.6949851476554101,-0.02351134425171601,0.5456695556640625,0.519850939922483,0.5467629965131211,0.8388197422027588,0.06663926593165892,0.08516282913678186,0.6446743732975504,0.17471414463629453,0.18061148206615507,0.538457406017004,0.342180655555542,0.119361938427454,1.0,1.0,1.0,1.0,False,False
f1_macro,attention,spec2d_wide,24,0.671473803403694,0.6752531053750657,-0.003779301971371563,0.944107174873352,0.9174978922003154,0.9227738473115834,1.0,0.04704393935714159,0.065626222340992,0.43232141260934953,0.21463791811956245,0.353040669271088,0.32863921218625525,0.4131283967765673,0.25823239103717743,1.0,1.0,1.0,1.0,False,False
