metric,model_a,model_b,n,mean_a,mean_b,mean_diff,p_naive_wilcoxon,p_corrected,p_corrected_conservative,p_sign,delta_min_naive,delta_min_corrected,bayes_p_b_better_r01,bayes_p_equiv_r01,bayes_p_a_better_r01,bayes_p_b_better_r02,bayes_p_equiv_r02,bayes_p_a_better_r02,p_naive_wilcoxon_holm,p_corrected_holm,p_corrected_conservative_holm,p_sign_holm,sig_naive,sig_corrected,bayes_p_b_better_r05,bayes_p_equiv_r05,bayes_p_a_better_r05
log_loss,gated,logvar,24,0.6546367229582399,0.6091908031346828,0.045445919823557133,0.7898378372192383,0.7175156366981857,0.7348913871997456,1.0,0.1942085350997383,0.2581024951907773,,,,0.3014659830675444,0.11819194144427203,0.5803420754881836,1.0,1.0,1.0,1.0,False,False,0.22479205957903894,0.2896886333296272,0.4855193070913339
log_loss,gated,raw1d,24,0.6546367229582399,0.8045084007032539,-0.149871677745014,0.1779801845550537,0.28211550974205946,0.31338844438995633,0.8388197422027588,0.3130143257782634,0.3830845502310319,,,,0.8251026955546023,0.06267183526657046,0.1122254691788273,1.0,1.0,1.0,1.0,False,False,0.7648030060923593,0.15748729255806013,0.07770970134958058
log_loss,gated,raw1d_wide,24,0.6546367229582399,0.8692208724639906,-0.21458414950575075,0.036649227142333984,0.16353961788879764,0.19112484295763515,0.15158963203430176,0.3933324640942858,0.47010536605931996,,,,0.8976248297959512,0.03773836544591502,0.06463680475813383,1.0,1.0,1.0,1.0,False,False,0.8594789870113394,0.09592464734835596,0.044596365640304635
log_loss,gated,score,24,0.6546367229582399,0.5010496217774681,0.15358710118077182,0.02112710475921631,0.18626991799519488,0.21505311192762427,0.15158963203430176,0.2887471188547601,0.34679872516144666,,,,0.06862844199733602,0.05543505199893539,0.8759365060037286,0.9295926094055176,1.0,1.0,1.0,False,False,0.0420192619279585,0.1418326488617916,0.81614808921025
log_loss,gated,shallow,24,0.6546367229582399,0.6204340294424108,0.03420269351582906,0.9664472341537476,0.799679360412953,0.812269695632076,1.0,0.19393697065159077,0.26254329025370016,,,,0.3439459600400901,0.1140685435368235,0.5419854964230865,1.0,1.0,1.0,1.0,False,False,0.2668077409261799,0.27986985631993067,0.45332240275388935
log_loss,gated,spec2d,24,0.6546367229582399,0.8200949359184252,-0.16545821296018548,0.26434290409088135,0.3349915349210452,0.3663235867607248,1.0,0.3669019858049677,0.45342265068328724,,,,0.8022077958961474,0.057242131109301014,0.14055007299455155,1.0,1.0,1.0,1.0,False,False,0.7505767149604435,0.14317395737352112,0.10624932766603533
log_loss,gated,spec2d_wide,24,0.6546367229582399,0.8606414843870059,-0.20600476142876603,0.2405325174331665,0.2511753648164324,0.28202692193058704,0.5412561893463135,0.4158213419167773,0.5059381511383059,,,,0.8505616836180218,0.04474685460230153,0.10469146177967671,1.0,1.0,1.0,1.0,False,False,0.8090373421995694,0.11244318278049278,0.07851947501993786
log_loss,late,logvar,24,0.9361035466961768,0.6091908031346828,0.32691274356149397,0.26434290409088135,0.16280596257558871,0.19034761743744508,0.8388197422027588,0.5987355953001436,0.7154842717641727,,,,0.06981201056128367,0.024681256874875768,0.9055067325638406,1.0,1.0,1.0,1.0,False,False,0.05499649377956083,0.06216101302414012,0.882842493196299
log_loss,late,raw1d,24,0.9361035466961768,0.8045084007032539,0.13159514599292277,0.8774070739746094,0.5233343847294868,0.5501120856616433,1.0,0.375032398371205,0.4795893803740658,,,,0.2314327541497254,0.06251081124991764,0.7060564346003569,1.0,1.0,1.0,1.0,False,False,0.19019768649074525,0.15555221567884026,0.6542500978304144
log_loss,late,raw1d_wide,24,0.9361035466961768,0.8692208724639906,0.06688267423218607,0.8774070739746094,0.7292364635348938,0.7459512707460834,0.8388197422027588,0.29573646870271514,0.3940298146716339,,,,0.3266292474059741,0.07745171823822938,0.5959190343557965,1.0,1.0,1.0,1.0,False,False,0.2731632201156669,0.19198083373677466,0.5348559461475585
log_loss,late,score,24,0.9361035466961768,0.5010496217774681,0.43505392491870865,0.0012379884719848633,0.029041050298083997,0.03983099853454073,0.06391465663909912,0.6590692555211188,0.7552844677014,,,,0.011518541859897164,0.00670666116849683,0.981774796971606,0.061899423599243164,1.0,1.0,1.0,False,False,0.008076831547373996,0.01732587801985197,0.974597290432774
log_loss,late,shallow,24,0.9361035466961768,0.6204340294424108,0.31566951725376585,0.22918963432312012,0.17874981302928553,0.207168084078369,0.5412561893463135,0.588543386732125,0.7057434782602904,,,,0.07690764162452905,0.026485933108723603,0.8966064252667474,1.0,1.0,1.0,1.0,False,False,0.060887715151133594,0.06664179871630149,0.872470486132565
log_loss,late,spec2d,24,0.9361035466961768,0.8200949359184252,0.11600861077775132,0.8774070739746094,0.5488595443041691,0.5746083749895236,0.5412561893463135,0.34460398070721643,0.44278633261164774,,,,0.24140781842138645,0.06827810322166883,0.6903140783569447,1.0,1.0,1.0,1.0,False,False,0.1964641770772506,0.16970571847392057,0.6338301044488288
log_loss,late,spec2d_wide,24,0.9361035466961768,0.8606414843870059,0.07546206230917075,0.8333734273910522,0.707199755892099,0.7251503914982758,1.0,0.31335203569819076,0.41552644583179676,,,,0.3174904795688476,0.0736814929501789,0.6088280274809735,1.0,1.0,1.0,1.0,False,False,0.26671037635403616,0.1827933214796601,0.5504963021663037
log_loss,logvar,raw1d,24,0.6091908031346828,0.8045084007032539,-0.19531759756857117,0.08937323093414307,0.11593730761090178,0.13993552554528108,0.5412561893463135,0.3386558286659841,0.4002200005532245,,,,0.9219622133411918,0.035621552814409825,0.0424162338443984,1.0,1.0,1.0,1.0,False,False,0.8817444560087672,0.09238999057081324,0.025865553420419594
log_loss,logvar,raw1d_wide,24,0.6091908031346828,0.8692208724639906,-0.2600300693293079,0.02112710475921631,0.084820420770739,0.10541632647776394,0.30745625495910645,0.4331265192433571,0.507471929494286,,,,0.9450122661846397,0.022592357226002897,0.032395376589357365,0.9295926094055176,1.0,1.0,1.0,False,False,0.9203735832388648,0.05835907214712762,0.021267344614007623
log_loss,logvar,score,24,0.6091908031346828,0.5010496217774681,0.10814118135721472,0.03148162364959717,0.21997770309994552,0.250057939113515,0.006610751152038574,0.2109654952939884,0.255128826241536,,,,0.07436868047071789,0.08301508576838035,0.8426162337609018,1.0,1.0,1.0,0.35036981105804443,False,False,0.03905810564233465,0.21323345775109281,0.7477084366065725
