acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,f1_c2,recall_c2,recall_ictal,cm,model,repeat,fold,axis,variant,params,sec
0.96,0.96231078158789,0.9679722562219503,0.9583333333333334,0.9979166666666667,0.963855421686747,1.0,0.9487179487179487,0.925,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [3, 37, 0], [0, 1, 19]]",raw1d,0,0,stft,fine,27075.0,83.82151780001004
0.96,0.96231078158789,0.9679722562219503,0.9583333333333334,0.997013888888889,0.963855421686747,1.0,0.9487179487179487,0.925,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [3, 37, 0], [0, 1, 19]]",spec2d,0,0,stft,fine,32227.0,34.88217880000593
0.97,0.9749647942419027,0.9767441860465116,0.975,0.9968055555555555,0.963855421686747,1.0,0.961038961038961,0.925,1.0,1.0,1.0,"[[40, 0, 0], [3, 37, 0], [0, 0, 20]]",raw1d_wide,0,0,stft,fine,99795.0,187.30722349999996
0.98,0.9792076838147299,0.9759969028261711,0.9833333333333334,0.9995138888888889,0.9876543209876543,1.0,0.9743589743589743,0.95,0.975609756097561,1.0,1.0,"[[40, 0, 0], [1, 38, 1], [0, 0, 20]]",spec2d_wide,0,0,stft,fine,97775.0,92.20663559999957
0.96,0.96231078158789,0.9679722562219503,0.9583333333333334,0.999375,0.963855421686747,1.0,0.9487179487179487,0.925,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [3, 37, 0], [0, 1, 19]]",late,0,0,stft,fine,98571.0,105.51997239999764
0.96,0.96231078158789,0.9679722562219503,0.9583333333333334,0.9981249999999999,0.963855421686747,1.0,0.9487179487179487,0.925,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [3, 37, 0], [0, 1, 19]]",gated,0,0,stft,fine,98698.0,114.15660879999632
0.95,0.953934953934954,0.9606879606879607,0.9499999999999998,0.9977777777777778,0.9523809523809523,1.0,0.935064935064935,0.9,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [4, 36, 0], [0, 1, 19]]",attention,0,0,stft,fine,98544.0,95.81268740000087
0.96,0.96231078158789,0.9679722562219503,0.9583333333333334,0.997013888888889,0.963855421686747,1.0,0.9487179487179487,0.925,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [3, 37, 0], [0, 1, 19]]",score,0,0,stft,fine,,0.0
0.6,0.6443989950056684,0.6358799766783275,0.6666666666666666,0.7508333333333334,0.5681818181818182,0.625,0.43478260869565216,0.375,0.9302325581395349,1.0,1.0,"[[25, 14, 1], [23, 15, 2], [0, 0, 20]]",logvar,0,0,stft,fine,3.0,0.0
0.96,0.9584530431770482,0.9538239538239538,0.9666666666666667,0.9983333333333334,0.975609756097561,1.0,0.9473684210526315,0.9,0.9523809523809523,1.0,1.0,"[[40, 0, 0], [2, 36, 2], [0, 0, 20]]",shallow,0,0,stft,fine,21.0,0.0
