acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,f1_c2,recall_c2,recall_ictal,cm,model,repeat,fold,params,sec,blend_w
0.97,0.9619104146881924,0.9659927257167308,0.9583333333333334,0.9904166666666666,0.9876543209876543,1.0,0.975,0.975,0.9230769230769231,0.9,0.9,"[[40, 0, 0], [0, 39, 1], [1, 1, 18]]",raw1d_wide,0,2,99795,158.6455167000022,
0.96,0.9585261621846989,0.9595238095238096,0.9583333333333334,0.9989583333333334,0.9743589743589743,0.95,0.9512195121951219,0.975,0.95,0.95,0.95,"[[38, 2, 0], [0, 39, 1], [0, 1, 19]]",spec2d_wide,0,2,97775,20.36621799999557,
0.96,0.9535706652100601,0.9580361159308527,0.9500000000000001,0.99625,0.975609756097561,1.0,0.9620253164556962,0.95,0.9230769230769231,0.9,0.9,"[[40, 0, 0], [1, 38, 1], [1, 1, 18]]",late,0,2,98571,44.797326100000646,
0.97,0.9667682450382872,0.9670731707317074,0.9666666666666667,0.9981944444444445,0.9873417721518988,0.975,0.9629629629629629,0.975,0.95,0.95,0.95,"[[39, 1, 0], [0, 39, 1], [0, 1, 19]]",gated,0,2,98698,54.72628799999802,
0.97,0.9667682450382872,0.9670731707317074,0.9666666666666667,0.9963194444444444,0.9873417721518988,0.975,0.9629629629629629,0.975,0.95,0.95,0.95,"[[39, 1, 0], [0, 39, 1], [0, 1, 19]]",attention,0,2,98544,58.88750729999447,
0.94,0.9419799498746867,0.9454545454545453,0.9416666666666668,0.991875,0.9473684210526315,0.9,0.9285714285714286,0.975,0.95,0.95,0.95,"[[36, 4, 0], [0, 39, 1], [0, 1, 19]]",early,0,2,97507,43.94623120000324,
0.98,0.9749986977131844,0.9752032520325203,0.975,0.999375,0.9876543209876543,1.0,0.9873417721518988,0.975,0.95,0.95,0.95,"[[40, 0, 0], [0, 39, 1], [1, 0, 19]]",score,0,2,59302,0.09243710000009742,0.0
0.6,0.65,0.65,0.65,0.7381944444444444,0.55,0.55,0.5,0.5,0.9,0.9,0.9,"[[22, 18, 0], [18, 20, 2], [0, 2, 18]]",logvar,0,2,3,0.026871599999140017,
0.94,0.9382324992081089,0.9365079365079364,0.9416666666666668,0.9943055555555556,0.961038961038961,0.925,0.926829268292683,0.95,0.926829268292683,0.95,0.95,"[[37, 3, 0], [0, 38, 2], [0, 1, 19]]",shallow,0,2,21,0.025160700002743397,
0.98,0.9790044317822096,0.9835365853658536,0.975,0.9944444444444445,0.9876543209876543,1.0,0.975,0.975,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [1, 39, 0], [0, 1, 19]]",raw1d,0,3,27075,36.37376999999833,
0.96,0.9665831244778613,0.9696969696969697,0.9666666666666667,0.9961111111111111,0.9523809523809523,1.0,0.9473684210526315,0.9,1.0,1.0,1.0,"[[40, 0, 0], [4, 36, 0], [0, 0, 20]]",spec2d,0,3,32227,17.550051000005624,
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,0.9966666666666667,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",raw1d_wide,0,3,99795,177.2878264999963,
0.97,0.970752824411361,0.9682539682539683,0.975,0.9963888888888889,0.975609756097561,1.0,0.961038961038961,0.925,0.975609756097561,1.0,1.0,"[[40, 0, 0], [2, 37, 1], [0, 0, 20]]",spec2d_wide,0,3,97775,26.13651910000044,
0.98,0.9792076838147299,0.9759969028261711,0.9833333333333334,0.9984722222222221,0.9876543209876543,1.0,0.9743589743589743,0.95,0.975609756097561,1.0,1.0,"[[40, 0, 0], [1, 38, 1], [0, 0, 20]]",late,0,3,98571,48.7092180000036,
0.95,0.9387674153403739,0.9608621667612024,0.9250000000000002,0.9959722222222221,0.9876543209876543,1.0,0.9397590361445783,0.975,0.8888888888888888,0.8,0.8,"[[40, 0, 0], [1, 39, 0], [0, 4, 16]]",gated,0,3,98698,45.37198530000023,
0.97,0.9665598791477835,0.9666562434855118,0.9666666666666667,0.9939583333333332,0.9876543209876543,1.0,0.9620253164556962,0.95,0.95,0.95,0.95,"[[40, 0, 0], [1, 38, 1], [0, 1, 19]]",attention,0,3,98544,44.79980490000162,
0.95,0.9539647344525393,0.9513084513084514,0.9583333333333334,0.995,0.9512195121951219,0.975,0.935064935064935,0.9,0.975609756097561,1.0,1.0,"[[39, 1, 0], [3, 36, 1], [0, 0, 20]]",early,0,3,97507,27.08208410000225,
0.96,0.9665831244778613,0.9696969696969697,0.9666666666666667,0.9961111111111111,0.9523809523809523,1.0,0.9473684210526315,0.9,1.0,1.0,1.0,"[[40, 0, 0], [4, 36, 0], [0, 0, 20]]",score,0,3,59302,0.07647659999929601,0.0
0.6,0.6483709273182957,0.6484848484848484,0.65,0.7502777777777778,0.5714285714285714,0.6,0.47368421052631576,0.45,0.9,0.9,0.9,"[[24, 16, 0], [20, 18, 2], [0, 2, 18]]",logvar,0,3,3,0.02521379999961937,
0.93,0.928182928182928,0.9341350920298289,0.9249999999999999,0.9955555555555556,0.9523809523809523,1.0,0.9090909090909091,0.875,0.9230769230769231,0.9,0.9,"[[40, 0, 0], [4, 35, 1], [0, 2, 18]]",shallow,0,3,21,0.025596300001780037,
0.92,0.9211290001987678,0.9317315026697178,0.9166666666666666,0.9977083333333333,0.9333333333333333,0.875,0.9069767441860465,0.975,0.9230769230769231,0.9,0.9,"[[35, 5, 0], [0, 39, 1], [0, 2, 18]]",raw1d,0,4,27075,80.79060780000145,
0.97,0.970752824411361,0.9682539682539683,0.975,0.9941666666666666,0.961038961038961,0.925,0.975609756097561,1.0,0.975609756097561,1.0,1.0,"[[37, 2, 1], [0, 40, 0], [0, 0, 20]]",spec2d,0,4,32227,15.647328799997922,
0.94,0.9375624375624376,0.9445773524720892,0.9333333333333332,0.9986805555555556,0.961038961038961,0.925,0.9285714285714286,0.975,0.9230769230769231,0.9,0.9,"[[37, 3, 0], [0, 39, 1], [0, 2, 18]]",raw1d_wide,0,4,99795,167.03756279999652,
0.91,0.9207080892474151,0.9387755102040817,0.9166666666666666,0.9963888888888889,0.8888888888888888,0.8,0.898876404494382,1.0,0.9743589743589743,0.95,0.95,"[[32, 8, 0], [0, 40, 0], [0, 1, 19]]",spec2d_wide,0,4,97775,19.612479799994617,
0.98,0.9833229101521784,0.9841269841269842,0.9833333333333334,0.9998611111111111,0.9743589743589743,0.95,0.975609756097561,1.0,1.0,1.0,1.0,"[[38, 2, 0], [0, 40, 0], [0, 0, 20]]",late,0,4,98571,47.7209526000006,
0.99,0.9873377651155429,0.991869918699187,0.9833333333333334,1.0,0.9876543209876543,1.0,1.0,1.0,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [0, 40, 0], [1, 0, 19]]",gated,0,4,98698,63.52425829999993,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0, 0], [0, 40, 0], [0, 0, 20]]",attention,0,4,98544,57.3109928000049,
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,0.9961111111111111,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",early,0,4,97507,25.662367700002505,
0.97,0.970752824411361,0.9682539682539683,0.975,0.9970833333333333,0.961038961038961,0.925,0.975609756097561,1.0,0.975609756097561,1.0,1.0,"[[37, 2, 1], [0, 40, 0], [0, 0, 20]]",score,0,4,59302,0.0816530000010971,0.1
0.57,0.629255518144407,0.6187850821997163,0.6416666666666667,0.7635416666666667,0.49382716049382713,0.5,0.44155844155844154,0.425,0.9523809523809523,1.0,1.0,"[[20, 20, 0], [21, 17, 2], [0, 0, 20]]",logvar,0,4,3,0.021571299999777693,
0.95,0.9542786530738337,0.9602203182374541,0.9499999999999998,0.9979861111111111,0.9487179487179487,0.925,0.9397590361445783,0.975,0.9743589743589743,0.95,0.95,"[[37, 3, 0], [1, 39, 0], [0, 1, 19]]",shallow,0,4,21,0.025815100001636893,
0.96,0.9583294264728863,0.9585261621846989,0.9583333333333334,0.9979166666666668,0.9620253164556962,0.95,0.9629629629629629,0.975,0.95,0.95,0.95,"[[38, 2, 0], [0, 39, 1], [1, 0, 19]]",raw1d,1,0,27075,44.33360240000184,
0.95,0.9582746570698378,0.9599832390530065,0.9583333333333334,0.9933333333333333,0.9397590361445783,0.975,0.935064935064935,0.9,1.0,1.0,1.0,"[[39, 1, 0], [4, 36, 0], [0, 0, 20]]",spec2d,1,0,32227,9.766439899998659,
0.96,0.96231078158789,0.9679722562219503,0.9583333333333334,0.9983333333333334,0.9487179487179487,0.925,0.963855421686747,1.0,0.9743589743589743,0.95,0.95,"[[37, 3, 0], [0, 40, 0], [1, 0, 19]]",raw1d_wide,1,0,99795,113.27262309999787,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0, 0], [0, 40, 0], [0, 0, 20]]",spec2d_wide,1,0,97775,20.36364290000347,
0.97,0.974996093139553,0.9751928288513655,0.975,0.9987499999999999,0.9620253164556962,0.95,0.9629629629629629,0.975,1.0,1.0,1.0,"[[38, 2, 0], [1, 39, 0], [0, 0, 20]]",late,1,0,98571,43.918321100005414,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0, 0], [0, 40, 0], [0, 0, 20]]",gated,1,0,98698,58.73110959999758,
0.97,0.974996093139553,0.9751928288513655,0.975,0.9972222222222222,0.9620253164556962,0.95,0.9629629629629629,0.975,1.0,1.0,1.0,"[[38, 2, 0], [1, 39, 0], [0, 0, 20]]",attention,1,0,98544,44.54028400000243,
0.96,0.966645820304357,0.9674185463659147,0.9666666666666667,0.9947222222222223,0.9487179487179487,0.925,0.9512195121951219,0.975,1.0,1.0,1.0,"[[37, 3, 0], [1, 39, 0], [0, 0, 20]]",early,1,0,97507,24.595063699998718,
0.96,0.9583294264728863,0.9585261621846989,0.9583333333333334,0.9979166666666668,0.9620253164556962,0.95,0.9629629629629629,0.975,0.95,0.95,0.95,"[[38, 2, 0], [0, 39, 1], [1, 0, 19]]",score,1,0,59302,0.09592739999789046,1.0
0.64,0.6885789108011329,0.6792113621381914,0.7000000000000001,0.7752083333333334,0.5679012345679012,0.575,0.5454545454545454,0.525,0.9523809523809523,1.0,1.0,"[[23, 16, 1], [18, 21, 1], [0, 0, 20]]",logvar,1,0,3,0.027575799998885486,
0.95,0.9498906079074855,0.9499791536376901,0.9499999999999998,0.997013888888889,0.9629629629629629,0.975,0.9367088607594937,0.925,0.95,0.95,0.95,"[[39, 1, 0], [2, 37, 1], [0, 1, 19]]",shallow,1,0,21,0.02558159999898635,
0.95,0.9463918825234764,0.9406487232574189,0.9583333333333334,0.9995138888888889,0.975609756097561,1.0,0.9333333333333333,0.875,0.9302325581395349,1.0,1.0,"[[40, 0, 0], [2, 35, 3], [0, 0, 20]]",raw1d,1,1,27075,38.284964300000865,
0.96,0.9554238397261653,0.9481884057971014,0.9666666666666667,0.9958333333333332,0.961038961038961,0.925,0.975,0.975,0.9302325581395349,1.0,1.0,"[[37, 1, 2], [0, 39, 1], [0, 0, 20]]",spec2d,1,1,32227,19.69321289999789,
0.95,0.9407407407407407,0.9333333333333332,0.9583333333333334,0.9993055555555556,1.0,1.0,0.9333333333333333,0.875,0.8888888888888888,1.0,1.0,"[[40, 0, 0], [0, 35, 5], [0, 0, 20]]",raw1d_wide,1,1,99795,110.30325319999974,
0.95,0.9470905063928319,0.9398550724637681,0.9583333333333334,0.9950694444444445,0.95,0.95,0.961038961038961,0.925,0.9302325581395349,1.0,1.0,"[[38, 0, 2], [2, 37, 1], [0, 0, 20]]",spec2d_wide,1,1,97775,19.4877462000004,
0.99,0.9876505094164866,0.9841269841269842,0.9916666666666667,0.9996527777777778,1.0,1.0,0.9873417721518988,0.975,0.975609756097561,1.0,1.0,"[[40, 0, 0], [0, 39, 1], [0, 0, 20]]",late,1,1,98571,51.52345549999882,
0.98,0.9755799755799757,0.9696969696969697,0.9833333333333334,0.9988194444444445,1.0,1.0,0.9743589743589743,0.95,0.9523809523809523,1.0,1.0,"[[40, 0, 0], [0, 38, 2], [0, 0, 20]]",gated,1,1,98698,67.4648967999965,
0.99,0.9873377651155429,0.991869918699187,0.9833333333333334,0.9998611111111111,1.0,1.0,0.9876543209876543,1.0,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [0, 40, 0], [0, 1, 19]]",attention,1,1,98544,44.571422000000894,
0.93,0.9252018544564254,0.9255993329164061,0.9249999999999999,0.9931944444444444,0.9620253164556962,0.95,0.9135802469135802,0.925,0.9,0.9,0.9,"[[38, 2, 0], [1, 37, 2], [0, 2, 18]]",early,1,1,97507,30.465758299993468,
0.96,0.9554238397261653,0.9481884057971014,0.9666666666666667,0.9986111111111112,0.961038961038961,0.925,0.975,0.975,0.9302325581395349,1.0,1.0,"[[37, 1, 2], [0, 39, 1], [0, 0, 20]]",score,1,1,59302,0.08853439999802504,0.125
0.56,0.610132253917338,0.597420084284099,0.6333333333333333,0.7213194444444445,0.5287356321839081,0.575,0.37142857142857144,0.325,0.9302325581395349,1.0,1.0,"[[23, 17, 0], [24, 13, 3], [0, 0, 20]]",logvar,1,1,3,0.025661400002718437,
0.95,0.9498565691336776,0.9464411557434813,0.9583333333333334,0.9958333333333332,0.963855421686747,1.0,0.9333333333333333,0.875,0.9523809523809523,1.0,1.0,"[[40, 0, 0], [3, 35, 2], [0, 0, 20]]",shallow,1,1,21,0.025882699999783654,
0.96,0.9625346010032642,0.9676434676434676,0.9583333333333334,0.9933333333333333,0.9512195121951219,0.975,0.9620253164556962,0.95,0.9743589743589743,0.95,0.95,"[[39, 1, 0], [2, 38, 0], [1, 0, 19]]",raw1d,1,2,27075,47.79672759999812,
0.96,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9844444444444443,0.95,0.95,0.95,0.95,1.0,1.0,1.0,"[[38, 2, 0], [2, 38, 0], [0, 0, 20]]",spec2d,1,2,32227,12.620330199999444,
0.97,0.9708577901348986,0.9767441860465116,0.9666666666666667,0.9925,0.963855421686747,1.0,0.9743589743589743,0.95,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [2, 38, 0], [1, 0, 19]]",raw1d_wide,1,2,99795,137.1570709000007,
0.97,0.974996093139553,0.9751928288513655,0.975,0.9913888888888889,0.9629629629629629,0.975,0.9620253164556962,0.95,1.0,1.0,1.0,"[[39, 1, 0], [2, 38, 0], [0, 0, 20]]",spec2d_wide,1,2,97775,24.35977499999717,
0.97,0.9708577901348986,0.9767441860465116,0.9666666666666667,0.9958333333333332,0.963855421686747,1.0,0.9743589743589743,0.95,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [2, 38, 0], [1, 0, 19]]",late,1,2,98571,47.53016429999843,
0.97,0.9708577901348986,0.9767441860465116,0.9666666666666667,0.9943055555555556,0.963855421686747,1.0,0.9743589743589743,0.95,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [2, 38, 0], [1, 0, 19]]",gated,1,2,98698,66.99548750000395,
0.95,0.954210193099082,0.9589430894308943,0.9499999999999998,0.9935416666666667,0.9382716049382716,0.95,0.95,0.95,0.9743589743589743,0.95,0.95,"[[38, 2, 0], [2, 38, 0], [1, 0, 19]]",attention,1,2,98544,46.54710740000155,
0.93,0.9278926516878324,0.9439922480620155,0.9166666666666666,0.99375,0.9397590361445783,0.975,0.925,0.925,0.918918918918919,0.85,0.85,"[[39, 1, 0], [3, 37, 0], [1, 2, 17]]",early,1,2,97507,25.36249829999724,
0.96,0.9625346010032642,0.9676434676434676,0.9583333333333334,0.9933333333333333,0.9512195121951219,0.975,0.9620253164556962,0.95,0.9743589743589743,0.95,0.95,"[[39, 1, 0], [2, 38, 0], [1, 0, 19]]",score,1,2,59302,0.10336110000207555,1.0
0.67,0.716520810543314,0.7164998957681884,0.7166666666666667,0.7916666666666666,0.6172839506172839,0.625,0.5822784810126582,0.575,0.95,0.95,0.95,"[[25, 15, 0], [16, 23, 1], [0, 1, 19]]",logvar,1,2,3,0.0250436999995145,
0.95,0.954210193099082,0.9589430894308943,0.9499999999999998,0.9964583333333333,0.95,0.95,0.9382716049382716,0.95,0.9743589743589743,0.95,0.95,"[[38, 2, 0], [2, 38, 0], [0, 1, 19]]",shallow,1,2,21,0.023455700000340585,
0.93,0.928066402749947,0.945027195027195,0.9166666666666666,0.9922916666666667,0.9285714285714286,0.975,0.9367088607594937,0.925,0.918918918918919,0.85,0.85,"[[39, 1, 0], [3, 37, 0], [2, 1, 17]]",raw1d,1,3,27075,35.48813949999749,
