acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,recall_ictal,cm,model,repeat,fold,n_fit
0.95,0.9444272923741897,0.9395604395604396,0.95,0.99625,0.9620253164556962,0.95,0.926829268292683,0.95,0.95,"[[38, 2], [1, 19]]",logvar__trval,4,0,240
0.9666666666666667,0.9633699633699633,0.9545454545454546,0.975,0.99625,0.9743589743589743,0.95,0.9523809523809523,1.0,1.0,"[[38, 2], [0, 20]]",logvar__tr_only,4,0,192
0.9833333333333333,0.9814757641247298,0.9761904761904762,0.9875,0.99875,0.9873417721518988,0.975,0.975609756097561,1.0,1.0,"[[39, 1], [0, 20]]",shallow__trval,4,0,240
0.9666666666666667,0.9624999999999999,0.9624999999999999,0.9624999999999999,0.99875,0.975,0.975,0.95,0.95,0.95,"[[39, 1], [1, 19]]",shallow__tr_only,4,0,192
0.9166666666666666,0.9073788206236493,0.9029304029304028,0.9125000000000001,0.9712500000000001,0.9367088607594937,0.925,0.8780487804878049,0.9,0.9,"[[37, 3], [2, 18]]",logvar__trval,4,1,240
0.9166666666666666,0.9073788206236493,0.9029304029304028,0.9125000000000001,0.9712500000000001,0.9367088607594937,0.925,0.8780487804878049,0.9,0.9,"[[37, 3], [2, 18]]",logvar__tr_only,4,1,192
0.9666666666666667,0.9624999999999999,0.9624999999999999,0.9624999999999999,0.99,0.975,0.975,0.95,0.95,0.95,"[[39, 1], [1, 19]]",shallow__trval,4,1,240
0.9666666666666667,0.9624999999999999,0.9624999999999999,0.9624999999999999,0.99,0.975,0.975,0.95,0.95,0.95,"[[39, 1], [1, 19]]",shallow__tr_only,4,1,192
0.95,0.945635759589248,0.9347826086956521,0.9625,0.9837499999999999,0.961038961038961,0.925,0.9302325581395349,1.0,1.0,"[[37, 3], [0, 20]]",logvar__trval,4,2,240
0.95,0.945635759589248,0.9347826086956521,0.9625,0.9837499999999999,0.961038961038961,0.925,0.9302325581395349,1.0,1.0,"[[37, 3], [0, 20]]",logvar__tr_only,4,2,192
0.95,0.9444272923741897,0.9395604395604396,0.95,0.995,0.9620253164556962,0.95,0.926829268292683,0.95,0.95,"[[38, 2], [1, 19]]",shallow__trval,4,2,240
0.95,0.9444272923741897,0.9395604395604396,0.95,0.9962500000000001,0.9620253164556962,0.95,0.926829268292683,0.95,0.95,"[[38, 2], [1, 19]]",shallow__tr_only,4,2,192
0.9666666666666667,0.9624999999999999,0.9624999999999999,0.9624999999999999,0.98625,0.975,0.975,0.95,0.95,0.95,"[[39, 1], [1, 19]]",logvar__trval,4,3,240
0.9666666666666667,0.9624999999999999,0.9624999999999999,0.9624999999999999,0.98625,0.975,0.975,0.95,0.95,0.95,"[[39, 1], [1, 19]]",logvar__tr_only,4,3,192
0.9666666666666667,0.9633699633699633,0.9545454545454546,0.975,0.99625,0.9743589743589743,0.95,0.9523809523809523,1.0,1.0,"[[38, 2], [0, 20]]",shallow__trval,4,3,240
0.9666666666666667,0.9633699633699633,0.9545454545454546,0.975,0.99625,0.9743589743589743,0.95,0.9523809523809523,1.0,1.0,"[[38, 2], [0, 20]]",shallow__tr_only,4,3,192
0.9166666666666666,0.9050332383665717,0.9107830551989731,0.8999999999999999,0.99125,0.9382716049382716,0.95,0.8717948717948718,0.85,0.85,"[[38, 2], [3, 17]]",logvar__trval,4,4,240
0.9166666666666666,0.9050332383665717,0.9107830551989731,0.8999999999999999,0.99125,0.9382716049382716,0.95,0.8717948717948718,0.85,0.85,"[[38, 2], [3, 17]]",logvar__tr_only,4,4,192
0.9833333333333333,0.9810066476733144,0.9878048780487805,0.975,0.99875,0.9876543209876543,1.0,0.9743589743589743,0.95,0.95,"[[40, 0], [1, 19]]",shallow__trval,4,4,240
0.9833333333333333,0.9810066476733144,0.9878048780487805,0.975,0.99875,0.9876543209876543,1.0,0.9743589743589743,0.95,0.95,"[[40, 0], [1, 19]]",shallow__tr_only,4,4,192
