acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,recall_ictal,cm,model,repeat,fold,params,sec,blend_w
0.95,0.9444272923741897,0.9395604395604396,0.95,0.9974999999999999,0.9620253164556962,0.95,0.926829268292683,0.95,0.95,"[[38, 2], [1, 19]]",spec2d,0,3,32098,6.68245780000143,
0.9833333333333333,0.9810066476733144,0.9878048780487805,0.975,0.99875,0.9876543209876543,1.0,0.9743589743589743,0.95,0.95,"[[40, 0], [1, 19]]",raw1d_wide,0,3,99666,74.67351499999495,
0.9666666666666667,0.9614890885750962,0.9761904761904762,0.95,1.0,0.975609756097561,1.0,0.9473684210526315,0.9,0.9,"[[40, 0], [2, 18]]",spec2d_wide,0,3,97646,15.451941699997406,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",late,0,3,98416,33.62469070000225,
0.9833333333333333,0.9814757641247298,0.9761904761904762,0.9875,1.0,0.9873417721518988,0.975,0.975609756097561,1.0,1.0,"[[39, 1], [0, 20]]",gated,0,3,98569,39.055928799993126,
0.95,0.9444272923741897,0.9395604395604396,0.95,0.9974999999999999,0.9620253164556962,0.95,0.926829268292683,0.95,0.95,"[[38, 2], [1, 19]]",attention,0,3,98415,33.58719060000294,
0.9333333333333333,0.925,0.925,0.925,0.99125,0.95,0.95,0.9,0.9,0.9,"[[38, 2], [2, 18]]",early,0,3,97617,21.102842100001,
0.95,0.9444272923741897,0.9395604395604396,0.95,0.9974999999999999,0.9620253164556962,0.95,0.926829268292683,0.95,0.95,"[[38, 2], [1, 19]]",score,0,3,59044,0.08518980000371812,0.0
0.95,0.9413871703028329,0.9651162790697674,0.925,1.0,0.963855421686747,1.0,0.918918918918919,0.85,0.85,"[[40, 0], [3, 17]]",logvar,0,3,2,0.020208299996738788,
0.9833333333333333,0.9810066476733144,0.9878048780487805,0.975,0.9875,0.9876543209876543,1.0,0.9743589743589743,0.95,0.95,"[[40, 0], [1, 19]]",shallow,0,3,14,0.019332800002302974,
0.9666666666666667,0.9624999999999999,0.9624999999999999,0.9624999999999999,0.99875,0.975,0.975,0.95,0.95,0.95,"[[39, 1], [1, 19]]",raw1d,0,4,26946,24.51714830000128,
0.95,0.945635759589248,0.9347826086956521,0.9625,1.0,0.961038961038961,0.925,0.9302325581395349,1.0,1.0,"[[37, 3], [0, 20]]",spec2d,0,4,32098,7.9517038999983924,
0.95,0.945635759589248,0.9347826086956521,0.9625,0.9974999999999999,0.961038961038961,0.925,0.9302325581395349,1.0,1.0,"[[37, 3], [0, 20]]",raw1d_wide,0,4,99666,63.00900240000192,
0.9833333333333333,0.9814757641247298,0.9761904761904762,0.9875,1.0,0.9873417721518988,0.975,0.975609756097561,1.0,1.0,"[[39, 1], [0, 20]]",spec2d_wide,0,4,97646,19.480756199998723,
