acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,recall_ictal,cm,model,repeat,fold,params,sec,blend_w
0.9833333333333333,0.9810066476733144,0.9878048780487805,0.975,0.99875,0.9876543209876543,1.0,0.9743589743589743,0.95,0.95,"[[40, 0], [1, 19]]",score,2,2,59044,0.07892150000407128,0.0
0.95,0.9430199430199431,0.9492939666238767,0.9375,0.98,0.9629629629629629,0.975,0.9230769230769231,0.9,0.9,"[[39, 1], [2, 18]]",logvar,2,2,2,0.017977299998165108,
0.95,0.9430199430199431,0.9492939666238767,0.9375,0.9874999999999999,0.9629629629629629,0.975,0.9230769230769231,0.9,0.9,"[[39, 1], [2, 18]]",shallow,2,2,14,0.016460999999253545,
0.9666666666666667,0.9624999999999999,0.9624999999999999,0.9624999999999999,0.99875,0.975,0.975,0.95,0.95,0.95,"[[39, 1], [1, 19]]",raw1d,2,3,26946,23.622187999993912,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",spec2d,2,3,32098,8.140857699996559,
0.95,0.9444272923741897,0.9395604395604396,0.95,0.995,0.9620253164556962,0.95,0.926829268292683,0.95,0.95,"[[38, 2], [1, 19]]",raw1d_wide,2,3,99666,58.59774309999921,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",spec2d_wide,2,3,97646,15.812019900004088,
0.9833333333333333,0.9810066476733144,0.9878048780487805,0.975,1.0,0.9876543209876543,1.0,0.9743589743589743,0.95,0.95,"[[40, 0], [1, 19]]",late,2,3,98416,34.74636299999838,
0.9833333333333333,0.9810066476733144,0.9878048780487805,0.975,1.0,0.9876543209876543,1.0,0.9743589743589743,0.95,0.95,"[[40, 0], [1, 19]]",gated,2,3,98569,33.55260999999882,
0.9833333333333333,0.9810066476733144,0.9878048780487805,0.975,1.0,0.9876543209876543,1.0,0.9743589743589743,0.95,0.95,"[[40, 0], [1, 19]]",attention,2,3,98415,35.19340600000578,
0.9666666666666667,0.9624999999999999,0.9624999999999999,0.9624999999999999,0.995,0.975,0.975,0.95,0.95,0.95,"[[39, 1], [1, 19]]",early,2,3,97617,15.078672099996766,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",score,2,3,59044,0.09040130000357749,0.47500000000000003
0.9666666666666667,0.9614890885750962,0.9761904761904762,0.95,1.0,0.975609756097561,1.0,0.9473684210526315,0.9,0.9,"[[40, 0], [2, 18]]",logvar,2,3,2,0.02197199999500299,
0.9666666666666667,0.9624999999999999,0.9624999999999999,0.9624999999999999,0.99875,0.975,0.975,0.95,0.95,0.95,"[[39, 1], [1, 19]]",shallow,2,3,14,0.022260199999436736,
