model,f1_mean,f1_std,n_fit,n
logvar__tr_only,0.9346249001865153,0.024514944066124356,192,25
logvar__trval,0.9331005042853344,0.02362494532298471,240,25
shallow__tr_only,0.9627912065655589,0.02141640904932666,192,25
shallow__trval,0.9643710512662588,0.0219133698006115,240,25
